Grupo de Producto;Producto;Código Barras;Stock;Costo Neto Prom. Unitario;Precio Venta 
;DROPOL PARACETAMOL USO ORAL 1 GR. 20 COMP. LAB. PASTEUR;7800068011542;11;0;4000
;DULCE BELLA EYESSHADOW 9 COLORES;7708133635658;0;0;2000
;DULCOLAX PICOSULFATO DE SODIO 7.5MG;3664798040654;0;0;6500
;DULOXETINA 30MG;7804681740438;6;0;4500
;DUO FIJADOR FUERTE FIJ 165ML LABOCOCH;7804947601220;1;0;2000
;DUO FIJADOR NORMAL 330ML;7804947611168;3;0;3500
;DUO FIJADOR NORMAL X165;7804947601213;5;0;2000
;DUO GEL FOR MEN FIJACION EXTRA FUERTE;7804947004496;0;0;2000
;DUO LACA EXTRA FUERTE X330;7804947601206;13;0;3000
;DUODART 0.5MG0.4MG;7800029002831;0;0;40000
;durex  x 3;5052197036312;6;0;2500
;DUREX CLASICO PRESERVATIVOS 12 UND. RECKITT BENCKISER;7805010004078;0;0;4500
;DUREX CLASICO PRESERVATIVOS 3 UND. RECKITT BENCKISER;7501159731133;2;0;2000
;DUREX INTENSE DIABLILLO ESTIMULADOR VIBRANTE X1UND;5038483998496;1;0;6000
;DUREX INTENSE VIBRATIONS X1UND;5038483747773;0;0;6000
;DUREX INVISIBLE X3;5052197008555;2;0;2500
;DUREX PRESERVATIVO PLACER PROLONGADO X3UND;7501159033312;0;0;2500
;DUREX SENSITIVO DELG. X 12;7805010004085;0;0;6500
;DUREX SENSITIVO DELGADO. 3 UNIDADES;7501159731232;1;0;2000
;DUTASVITAE DUTASTERIDA 0.5MG X30CAPS LAB. GALENICUM;7804653720383;0;0;20000
;DVIDA MAX 100.000 U.I.;7800018001296;2;0;21000
;DVIDAMAX COLECALCIFEROL 100UI 1G LAB.ABDRINACO;7800018171982;0;0;21000
;DVIDAMAX COLECALCIFEROL 50.000 U.I. 4.4 G LAB. ANDROMACO;7800018000213;0;0;30000
;EAU DE TOILETTE. CITRIK 100 ML.;7804902034025;0;0;5500
;EBATENE TIOCOLHICOSIDO 8MG X20COMP LAB. MEGALABS;7730969304552;0;0;14000
;ECHINACEA+VIT C 20COMP KNOP;7803504002791;8;0;4500
;EFICACINA CLINDAMICINA 1G X30G LAB. HELEVCIA PHARMA;7800097003846;1;0;15000
;EL VIVE.ACO.MATIZ.MORADO .150ML;7509552843149;0;0;4500
;ELASTOMULL4CMX4M;4042809022438;56;0;500
;ELBRUS RASAGILINA 1MG X30COMP LAB. DEUTCHE;7804625951814;0;0;19000
;ELCALD CALCIO + VITAMINA D3 320MG + 125UO X30COMP LAB. ANDROMACO;7800018000527;0;0;11500
;ELCALD FORTE CALCIO +VITAMINA D 450MG + 175UI X30 CAPS. LAB. ANDROMACO;7800018000688;5;0;11500
;ELCALD FORTE CALCIO 450MG + VITAMINA D 175 U.I.;7800018000701;0;0;18000
;ELCALKID CALCIO + VITAMINA D 5ML X180ML LAB. ANDROMACO;7800018178462;0;0;16000
;ELIQUIS APIXABAN 2.5MG X60COMP LAB. PFIZER;5415062378342;0;0;90000
;ELITE ALCOHOL DESNATURALIZADO 130ML;10030462;0;0;1500
;ELITE ALCOHOL GATILLO 70'' 1000 CC. LAB . ELITE;10030691;0;0;3000
;ELITE ALCOHOL GATILLO 95 '' 1000 CC. LAB. ELITE;10030714;0;0;3000
;ELITE ALCOHOL GEL 60CC 70;7800045000910;0;0;1000
;ELITE ALCOHOL GEL NEUTRO 70 % 500 ML. MAQUIPACK;7800045001740;0;0;3500
;ELITIRAN DICLOFENACO SODICO 15MG X25ML LAB. MINTLAB;7800063330495;0;0;3000
;ELIXINE LENTOCAPS TOFILINA 250MG 20CAPS LAB. SAVAL;7800060008458;0;0;29000
;ELMEX ANTICARIES PROFESSIONAL  DENTAL 110GR;8718951658240;14;0;5000
;ELMEX CREMA DENT SENSITIVE WHITENING 110G;8718951456440;3;0;4000
;ELMEX SENSITIVE PROFESSIONAL 11OGR;8718951213524;26;0;5000
;ELONTRIL XL X30 COMP;7800030078207;1;0;46000
;ELTOVEN 2 TOLTERODINA L TARTRATO 2MG X30COMP. LAB MEGALABS;7730698005676;0;0;20000
;ELVENIR 37.5MG FENTERMINA CLORHIDRATO X30COMP ABBOTT B;7800026254790;11;0;27000
;ELVIVE ACEITE OLEO EXTRAORDINARIO 100 ML. LOREAL PARIS;7509552904819;0;0;7500
;ELVIVE ACONDICIONADOR ANTI QUIEBRE CAIDA RESIST 370 ML LOREAL PARIS;7509552889574;0;0;3500
;ELVIVE ACONDICIONADOR ELVIVE DREAM LISO X370 ML LOREAL PARIS;7509552961515;0;0;3500
;ELVIVE ACONDICIONADOR ELVIVE GLYCOLIC GLOSS 370 ML LOREAL PARIS;7509552928617;0;0;4000
;ELVIVE ACONDICIONADOR HIALURONICO PURE X370 ML LOREAL PARIS;7509552875010;0;0;4000
;ELVIVE ACONDICIONADOR HIDRA HIALURONICO X370 ML LOREAL;7509552845914;5;0;3800
;ELVIVE ACONDICIONADOR REPARADOR CON KERATIN X370 ML LOREAL PARIS;7509552847994;0;0;4000
;ELVIVE ACONDICIONADOR REPARADOR CON KERATIN X370ML LOREAL PARIS;SDNFJS;0;0;3500
;ELVIVE CAIDA RESIST 370ML;7509552889543;0;0;3500
;ELVIVE CAIDA RESIST CREMA PARA PEINAR ANTI QUIEBRE X300ML LOREAL;7509552902082;0;0;5000
;ELVIVE COLOR VIVE LOREAL PARIS ACONDICIONADOR X370;7509552848076;16;0;3800
;ELVIVE COLOR VIVE SHAMPOO 380ML;7509552847499;13;0;3800
;ELVIVE CREMA PARA PEINAR CON ACIDO HIALURONICO X294G LOREAL;7509552845938;0;0;5000
;ELVIVE CREMA PARA PEINAR DREAM LONG;7509552836677;0;0;5000
;ELVIVE OLEO EXTRAORDINARIO CREMA PARA PEINAR 300ML LOREAL;7509552911473;0;0;5000
;ELVIVE SERUM STOP FRIZZ DREAM LONG 100ML;3600523817481;6;0;8000
;ELVIVE SHAMPOO HIDRA RELLENADOR 370ML;7509552845884;1;0;4000
;ELVIVE SHAMPOO NUTRITIVO 370ML;7509552847505AAAAA;0;0;3500
;EMUBABY PAÑALES PREMIUM TALLA XG. 14 UNDS. EMUCHILE;7804603542010;0;0;4500
;EMUBABY PAÑALES PREMIUM TALLA XXG 14 UNDS. EMUCHILE;7804603542027;0;0;4000
;EMUBABY TOALLAS HUMEDAS CACE DE EMU X 50;7804603540900;20;0;1500
;EMUBABY TOALLITAS 80 UNDS.;7804603541419;5;0;3500
;EMULSION HIDRATANTE CERADERM HANDS CARE X50G;7804625951692;0;0;8500
;EMULSIONADO NEUTRO 410 ML;7804945007314;0;0;3200
;EMULSIONADO NEUTRO HIPOALERGENICO BABYLAND X270ML;7804945007307;4;0;2000
;EMUMED ROPA INTERIOR DESECHABLE TALLA M X18;7804603542218;0;0;11000
;EMUUWIP.TOA.HUM.BOS/T (2X1);7804603541723;0;0;2500
;ENALAPRIL MALEATO 10MG X20COMP. LAB. ANDROMACO;7800018001166;0;0;500
;ENCRESPADOR;7709990596625;0;0;3000
;ENCRESPADOR DE PESTANAS;8424559087060;0;0;2000
;ENDULSANTE ESTEVIA DAILY 270ML;7809558101725;5;0;6000
;ENDULZANTE DAILY SUCRALOSA 150 TABLETAS;7809558100629;0;0;1500
;ENDULZANTE DAILY SUCRALOSA 90+10ML;7809558100902;0;0;2000
;ENDULZANTE DAILY SUCRALOSA X180ML;7809558101930;0;0;2000
;ENDULZANTE LIQUIDO 270ML SUCRALOSA;7809558100599;14;0;3000
;ENDULZANTE TABLETAS 110 STEVIA DAILY;7809558101732;0;0;1500
;ENHORA SILDENAFILO 100MG X20COMP LAB OPKO;7804620835683;12;0;5000
;ENHORA SILDENAFILO 50MG X10 COMP LAB OPKO;7804620832866;17;0;3000
;ENHORA SILDENAFILO 50MG X20COMP LAB. OPKO;7804620835690;7;0;4000
;ENJUAGUE BUCAL VITIS SENSIBLE 500ML;8427426046290;0;0;7500
;ENO LIMON SAL DE FRUTA CAJA 30SOB GSK 5G;7794640170911;0;0;6000
;ENO LIMON SAL DE FRUTA FRASC GSK 100G;78011922;2;0;3500
;ENO LIMON SAL DE FRUTA SOB 1UNI GSK 5G;7794640170904;0;0;1000
;ENO LIMON X60 SOBRES;7804900000992;0;0;6000
;ENO REGULAR SAL DE FRUTA CAJA 30SOB GSK 5G;7794640170898;0;0;6000
;ENO REGULAR SAL DE FRUTA FRASC GSK 100G;78011915;0;0;3000
;ENO SAL DE FRUTA;7794640170881;0;0;1000
;ENO SAL DE FRUTA XUND;78032484;276;0;125
;ENSURE ADVANCE SABOR CHOCOLATE. 850 GRS.;8427030006468;0;0;27000
;ENSURE ADVANCE SABOR FRUTILLA - PLATANO 850G.;8427030008004;0;0;27000
;ENSURE ADVANCE SABOR VAINILLA.850 GRS.;8710428999269;0;0;27000
;ENSURE CHOCOLATE 850 G;7807030006461;0;0;24000
;ENSURE FRUTILLA 850 G;8710428013705;0;0;28000
;ENSURE SABOR FRUTILLA X850G ABBOTT;8710428999467;0;0;24000
;ENSURE SABOR VAINILLA 850G.;8710428999443;0;0;24000
;ENSURE VAINILLA 850 g;7800428999263;0;0;24000
;ENTEROL SACCHAROMYCES BOULARDII 250MG X10SOBRES LAB. SANITAS;7800038042729;0;0;6000
;EPIDERMIS DE SEMILLA DE PSYLLIUM 18 SOBRES DE 5G;7800004284450;3;0;6800
;EPIDUO FORTE GEL TOPICO 0.3/2.5 30G;3499320007528;3;0;48000
;EPIGENETIC SERUM 30ML EUCERIN;4006000077000;2;0;58000
;ERITROFER COMPLEJO DE HIERRO 50ML X20ML LAB. DEUTSCHE;7795345121734;0;0;7000
;ERITROMICINA ETILSUCCINATO 500MG X8COMP LAB.MILAB;7800063110615;0;0;2500
;ESANTEST PLUS TEST DE EMBARAZO X1UND;7804659070048;41;0;1500
;ESC ESCITALOPRAM 20MG X30 COMP. LAB EUROFARMA;7800046005136;1;0;6500
;ESCAPEL 1 LEVONORGESTREL 15 MG.;7804628610008;20;0;9000
;ESCAPEL 2 LEVONORGESTREL 0.75MG X2UND;7804628610015;0;0;9500
;ESCITALOPRAM 10MG 30COMP. OPKO;7804620834433;0;0;2000
;ESCITALOPRAM 10MG X30 COMP. LCH B;7800007783448;0;0;2000
;ESCITAVIAE ESCITALOPLAN 20MG X28COMP LAB. GALENICUM;7804653720031;0;0;6500
;ESMALTE DE UNAS AZUL PETROLEO PZZO;FVEAP;0;0;1500
;ESMALTE DE UNAS DANS GLOW 15ML;FVEDG;0;0;1500
;ESMALTE DE UNAS EMPODERADA 10ML VOGUE;7509552789201;0;0;2000
;ESMALTE LASTING PRO SAMY 14.5ML 122 ZIMBABUE;7703378010451;0;0;2000
;ESMALTE LASTING PRO SAMY 14.5ML 258 SIRIA;7703378011939;0;0;2000
;ESMALTE VOGUE GEL FIESTA X14ml;7509552924190;0;0;2500
;ESOMEPRAZOL 20MG X30CAPS ASCEND B;7804650884804;0;0;2500
;ESOMEPRAZOL 40MG 30CAPS LAB. BIOEQUIVALENTE;8904317830683;120;0;3500
;ESPERCIL ACIDO TRANEXAMICO 500MG X20COMP LAB. GRUMENTHAL;7800055000450;2;0;75000
;ESPUMA TOPICA XINDER CLOBETASOL PROPIONATO 60G AL 0.05;7795373000407;3;0;22000
;ESPUNA MOUSSE RIZOS DEFINIDOS PANTENE X227G;7506195144947;6;0;4000
;ESTREVA GEL TOPICO ESTRADIOL 0.1;7800007807380;0;0;34000
;ESTUCHE BABYLAND SHAMPOO NEUTROCOLONIAEMULSIONADO NEUTRO;7804945005020;0;0;6000
;ESTUCHE SIMONDS BABY EMULSIONADO DE VASELINA GOLDEN LOCION BABY SHAMPOO NEUT.;7804945001718;0;0;6000
;ESZOPLICONA 3 MG. 30 COMP. RECUBIERTOS. LAB CHILE;7800007811530;0;0;5000
;ETHONAZOL CLOTRIMAZOL 1 GR CREMA 20 GR LAB ETHON;7804633500721;0;0;500
;ETIENNE DELINEADOR DE OJOS XUND;7804902049104;0;0;4000
;ETIENNE ENCRESPADOR DE PESTANAS 1 UND. LAB. ETIENNE PROFESSIONAL;7804902035510;0;0;4000
;ETIENNE FIJADOR DE MAQUILLAJE FIX XTRA 100ML;7804902044345;0;0;5000
;ETIQUET ACTION CREMA 60GR;7804900610887;0;0;3500
;ETIQUET MEN ROLLON 60G;7794640630491;6;0;2800
;ETIQUET WOM DESODORANTE CREMA X30GRS;7804900632506;23;0;3500
;ETIQUET WOMEN CLASICO ROLL-ON 60G;7804900610955;3;0;2800
;ETORICOXIB 120 MG. SEVEN PHARMA 7 COMP.;8903726307861;0;0;3500
;ETOVITAE 90MG ETORICOXIB X14COMP. GALENICUM B;7804653720581;0;0;9000
;ETOVITAE ETORICOXIB X60MG X14 COMP;7804653720574;0;0;4800
;EUCERIN ACEITE CORPORAL ANTI-ESTRIAS X125ML LAB BEIERSDORF;4005800631788;0;0;18000
;EUCERIN AQUAPHOR REPAIR OINT EUC 49G;4005800223136;42;0;10000
;EUCERIN ATOP CREM FAC.50ML;75923722809710;5;0;1500
;EUCERIN ATOP.CR.FAC.50ML;4005800348433;0;0;16000
;EUCERIN BABY BANO Y SHAMPOO CON DEXPANTENOL Y MANTECA DE KARITE 400ML;4005900259646;0;0;17000
;EUCERIN BLOQUIADOR TOQUE SECO;4005800266409;0;0;17000
;EUCERIN DEODORANT 24 HRAS.;4005800027697;7;0;15000
;EUCERIN DERM.FLU.HD.MA 50ML 52G;4005900436962;4;0;22000
;EUCERIN DERMO CAPILLAIRE ANTI CASPA SECA SHAMPOO CREMA X250ML BEIERSDORF;4005800040573;0;0;16000
;EUCERIN DERMO CAPILLAIRE ANTICASPA SHAMPOO GEL X250ML;4005800036842;0;0;17000
;EUCERIN GEL CR OIL CONTROL  TOQUE SECO F50 50ML;4005900264282;19;0;25000
;EUCERIN HYALURON-FILLER NOCHE 50 Ml;4005800024023;0;0;30000
;EUCERIN OIL C TIN F50 50ML;4005900140906;7;0;17000
;EUCERIN OIL GEL 150+PSOL 50;4005800372452;2;0;35000
;EUCERIN PH5 PIEL SENCIBLE LOCION LIGERA X400ML BEIERSDORF;4005800204975;0;0;20000
;EUCERIN PHOT CON F50 MD 50;75917615129248;3;0;22000
;EUCERIN PIGM CONTROL F50 50ML TEXTURA LIGERA;4005800241901;1;0;19000
;EUCERIN POMADA REPARADORA;4005800220012;0;0;5000
;EUCERIN PROTECTOR SOLAR ANTI-BRILLO TONO CLARO;4005900839626;0;0;23500
;EUCERIN PROTECTOR SOLAR KIDS SPRAY 50FPS 200ML;4005800066627;0;0;21000
;EUCERIN SUN FL PROT F50 50ML;4005900265227;11;0;22000
;EUCERIN UREA REPAIR PIEL SECA EXTRE. SECA 10 UREA LOCION X400ML BEIERSDORF;4005800164361;0;0;33000
;EUROGESIC ADULTO NAPROXENO SODICO 275 MG X10 COMP. LAB SABAL;7800060402744;0;0;3000
;EUROGESIC FORTE NAPROXENO SODICO 550MG X 10COMP. LS;7800060403987;0;0;4000
;EUROGESIC INFANTIL NAPROXENO SODICO 125MG5ML X60ML SAVAL;7800060404113;2;0;7500
;EUROGESIC INFANTIL NAPROXENO SODICO 50MG 6 SUPOSITORIOS LAB. SAVAL;7800060404281;0;0;5000
;EUROVIR 200MG 100ML;7800060402904;0;0;38000
;EUTIROX LEVOTIROXINA SODICA 125MCG X50 COMP LAB. MERCK;7501298222653;9;0;14000
;EUTIROX LEVOTIROXINA SODICA 137MCG 50COMP LAB. MERCK;7501298222721;6;0;15000
;EUTROGENA ANTIEDAD 100G;7891010253820;0;0;7000
;EVISSA JABO JARDIN LAVANDA X3UND;8681725025077;0;0;1500
;EVISSA JARDIN DE ROSAS 4X70G;8681725025060;0;0;2000
;EVITTA-1 COMP GEOD RICH 15MG;5997001360484;59;0;5000
;EXACTA 2 DELICADA X 3UND;7591066681300;0;0;2500
;EXELRING ANTICONCEPTIVO 1 UND. ANILLO LAB. EXELTIS;7804656600316;0;0;20000
;EXFOLIANTE FACIAL OIL FREE CLEAR WASH NEUTROGENA X124ML;70501053607;0;0;7500
;EXFOLIANTE ISDIN GLICOISDIN 10 X50G;8429420175303;2;0;29000
;EXPANSION PLUS HILO DENTAL MENTA 50M JOHNSON Y JOHNSON;7891010038908;0;0;4000
;EXTOSEN JARABE X100ML SANITAS B;7800038042828;47;0;5000
;EXTRACTO DE GINKO BILOBA NOKATAR 40MG;7804918402368;20;0;2500
;EXTRACTOR DE LECHE BOCA ESTANDAR PIGEON;4902508174121;0;0;25000
;EXTRACTOR DE LECHE MANUAL BEST HOUSE;8850217604001;0;0;15000
;EYEBROW TIJERA UÑAS PUNT FINA 1 UND LAB.BEAUTY;6925369898966;0;0;1500
;EYESHADOW 1O COLORES;7709311289311;0;0;3000
;EYKOSACOL ACEITE MARINO EPADHA 300MG X60 CAPS LAB.PROCAPS;7803504000575;0;0;10000
;EYKOSACOL OMEGA 3 ACEITE MARINO EPADHA 300MG KNOP;7803504421820;0;0;7000
;EZETROL EZETIMIBA 10MG X30COMP LAB. ORGANON;7501050604031;0;0;46000
;EZTIM EZETIMIBA 10MG 28 COMP;8903726249017;5;0;17000
;FAM SET ALGODON HIDROFILO EN ZIG ZAG X100GRS SOCOFAR;7805633013440;27;0;1500
;FAM SET ALGODON HIDROFILO NAPA PR 100GR;7805633013426;4;0;1500
;FAM SET PACK 10 PANUELOS DESECHABLES SUAVES. OFERTA 10X18UND.;7805633012818;22;0;2500
;FAM SET TAPONES DE OIDOS;7805633014478;1;0;2000
;FAMIDAL TINIDAZOL-NITRATO DE MICONAZOL;7861073970996;0;0;23000
;FAMILAND SHAMPOO DETOX 750ML;7804945062320FA;0;0;2000
;FAMILAND TODO TIPO DE CABELLO BIO SHAMPOO;7804945062528;0;0;1500
;FAMILLAND SHAMPOO DETOX BRILLO 750ML;7804945062559;0;0;2000
;FAMILY SET ALMENDRAS 3X90GRS;7805633020288;5;0;1000
;FAMILY SET APOSITO TRANSPARENTE + PAD 6X10CMS 3 APOSITOS SOCOFAR;7805633020424;0;0;1000
;FAMILY SET APOSITOS TRANSPARENTES 6X7CM X3UND. FAMILY SET;7805633008132;15;0;1000
;FAMILY SET BOTIQUIN 25 ARTICULOS;7805633013372;10;0;3500
;FAMILY SET CINTA ADHESIVA 2.50 CMS. SOCOFAR;7805633008057;0;0;2000
;FAMILY SET CINTA ADHESIVA TIPO PAPEL 9.1MTS SOCOFAR;7805633008071;0;0;2500
;FAMILY SET CINTA PAPEL 1.25 CM X 9.1 M-FAMILY SET;7805633008064;0;0;2000
;FAMILY SET CINTA PLA /D1.25X9,1;7805633008040;0;0;2000
;FAMILY SET CLASICO TALLA M X 8;7805633021261;10;0;4500
;FAMILY SET GASA ESTERILIZADA X10 UNI;7805633003717;0;0;1500
;FAMILY SET GASA NO ADHERENTE ESTERILIZADA 10 UNDS. SOCOFAR;7805633003694;0;0;1500
;FAMILY SET PACK VARITAS DE ALGODON 2X200 SOCOFAR;7805633018957;0;0;2000
;FAMILY SET PARCHE ANTIROCES PARA PIES X12UNIDADES SOCOFAR;7805633008095;0;0;1000
;FAMILY SET PARCHE CURITA HIDROCOLOIDE X10UND. SOCOFAR;7805633015833;0;0;2000
;FAMILY SET PARCHE CURITA NEON X30UNIDADES SOCOFAR;7805633012740;3;0;1000
;FAMILY SET PARCHES CLASICOS SURTIDOS X30UND SOCOFAR;7805633002086;41;0;1000
;FAMILY SET PARCHES CLASICOS X20UND LAB. SOCOFAR;7805633002000;7;0;1000
;FAMILY SET PARCHES CURITA DISENO NIÑAS X30UNIDADES SOCOFAR;7805633012849;14;0;1000
;FAMILY SET PARCHES CURITA DISENO NIÑOS X30UNIDADES SOCOFAR.;7805633012733;10;0;1000
;FAMILY SET PARCHES CURITAS TRANSPARENTES X60UNIDADES SOCOFAR;7805633015819;0;0;1000
;FAMILY SET SUTURAS ADHESIVAS 10X32CM X9UND. SOCOFAR;7805633008118;18;0;2500
;FAMILY SET TALCO DESODORANTE PARA PIES X 200G;7808718200650;0;0;1500
;FAMILY SET TERMOMETRO DIGITAL PUNTA FLEXIBLE;7805633020370;0;0;3500
;FAMILY SET VENDA ELASTICA 10CMX4.5M X1UND. SOCOFAR;7805633001928;0;0;3500
;FAMILY SET VENDA ELASTICA 7.5CM X 4.5M X1UND SOCOFAR;7730910591017;0;0;3500
;FAMILY SET VENTA GASA ELASTICA DE FIJACION 10CM X 4 MTS;7805633020493;29;0;1000
;FAMILYSET PARCHE OCULAR 5,8X8,3CM;7805633024200;6;0;2000
;FAMSET APOSITO LARGO UNISEX ADULTOS Y NINOS X20UND;7805633002826;0;0;3000
;FAMSET CEPILLO DENTAL SUAVE PACK X2;7805633018650;6;0;1000
;FAMSET FRESH MINT ENJUAGUE BUCAL MENTA FRESCA 250ML SOCOFAR;7805633027942;0;0;1000
;FAMSET PANTS GXG PANAL TIPO CALZON 8;7805633026884;0;0;5500
;FAMSET ROPA INTERIOR DESECHABLE PANTS GXG X16UND;7805633026907;2;0;8000
;FAMSET STRONG MINT ENJUAGUE BUCAL MENTA FUERTE 250ML SOCOFAR;7805633027959;0;0;1000
;FAMSET TAPONES DE OIDO DESECHABLES X 4 PARES SOCOFAR;7805633008125;12;0;1500
;FAMYLI SET GASA NO ADHERENTE ESTERILIZADA 10UND SOCOFAR;7805633003700;91;0;1500
;FAMYLI SET KARITE Y VERBENA 3X90GRS;7805633020295;5;0;1500
;FAPRIS DESVENLAFAXINA 100MG TECNOFARMA B;7730979096201;0;0;31000
;FAPRIS DEVELAFAXINA 50MG X30COMP LAB. TECNOFARMA;7730979096218;0;0;24000
;FARMACEROTO;8000246003768;0;0;1500
;FARMACEROTTO APOSITO IMPERMEABLE TRASPARENTE X20UND FARMAC ZABBAN;8000246003881;0;0;2500
;FARMACEROTTO KIDS APOSITO DE POLIETILENO TRANSPARENTE 40UND FARMAC ZABBAN;8000246003898;0;0;2500
;FARMACTIVE HIDROGEL 15GR X1UND;UXUVJ6;11;0;5500
;FASARAX HIDROXIZIA 20MG X20COMP LAB. PRATER;7804918400340;25;0;2500
;FEMELLE DROSPIRENONA 3MGETINILESTRADIOL 0.03 MG. 28 COMP. ABBOUTT;7800026050019;5;0;20000
;FEMELLE FOL 3MG 28COM;7800026111130;2;0;18000
;FENITOINA SODICA 100MG. X30COMP. LAB. CH;7800007119674;0;0;2500
;FENOKOMP 39 MEDICAMENTO HOMEOPATICO 90 COMP. LAB. KNOP;7803504002395;76;0;2500
;FENTEX FENTERMINA CLORHIDRATO 37.5MG X30CAPS SANITAS B;7800038050502;0;0;10000
;FERBEX FENOFIBRATO 200MG X30CAP LAB. CHILE;7800007805317;9;0;26000
;FERRANEM ACIDO ASCORBICO + ACIDO FOLICO + CIANOBALAMINA 100MG + 2MG + 330MG X30COMP LAB. CHEMO;7800041042853;0;0;7000
;FERRANIM 30CAPS SAN;7800038048042;0;0;7000
;FERRANIM ANTIANEMICO X30CAPS LAB. SANITAS;7800038000774;0;0;7000
;FERRIGOT SULFATO FERROSO 125MG X30ML LAB. PASTEUR;7800068012051;0;0;10000
;FERULA DE DEDO TIPO C CON VELCRO TALLA M;7801001013944;0;0;3500
;FERULA DEDO TIPO C;7801001013951;0;0;3500
;FESEMA SABUTAMOL 100MCG 200DOSIS LAB. CFT;7800030005449;9;0;15000
;FIBORAN PIRFENIDONA 267MG X30CAPS LAB. ABBOTT;7800026005699;0;0;37000
;FIBRASOL EPIDERMIS DE SEMILLA DE PSYLLIUM 200 GRS LAB. MAVER;7800004000500;1;0;9000
;FIBROLOW LIDOSE FENOFIBRATO 200MG 30CAPS;7800060142732;0;0;22000
;FIBROTINA LIDOSE FENOFIBRATO + RAVASTATINA 160MG + 40MG X30COMP LAB. SAVAL;7800060144866;2;0;29000
;FIECTANE NAPROXENO 500 MG + ESOMEPRAZOL 20 MG. 10 COMP.;7800038000057;0;0;4500
;FIJADOR FUERTE PARA EL CABELLO DUO X330ML;7804947601183;5;0;3000
;FILCOS ETORICOXIB 90MG 14 COMP. RAFFO;7809531201381;0;0;9500
;FIN ARTRIT GLUCOSAMINA+CONDROITINA X30SOBRES SABOR NARANJA GARDEN HOUSE;7803510000750;2;0;19000
;FINAFLUX 5 FINASTERIDA 5MG X30 COMP. LAB. ASCEND;7804650883111;0;0;10000
;FINAFLUX FINASTERIDA 1MG X90COMP LAB. ASCEND;7804650882893;0;0;23000
;FINAPET FENTERMINA CLORHIDRATO 37.5MG X30CAPS ANDROMACO B;7800018187006;9;0;17000
;FINARTRIT FORTE GLUCOSAMINA + CONDROITINA 750MG + 600MG X60 COMP. LAB. GARDEN HOUSE;7803510003041;0;0;18000
;FINARTRIT GLUCOSAMINA 500MG+CONDROITINA 400MG. X60COMP. GARDEN HOUSE;7803510773364;0;0;12000
;FINDER SHAMPOO 100ML;7800046005631;0;0;6000
;FIPROKILL CONTRA PULGAS Y GARRAPATAS PERROS Y GATOS SOLUCION SPRAY FIPRONIL 0.25 X100ML DRAG PHARMA;JHGYGY;0;0;13000
;FISIOFER PROTEINSUCCINILATO DE HIERRO 40MG X120ML LAB. ITF;7809591400571;0;0;14000
;FISIOFER PROTEINSUCCINILATO DE HIERRO 800 MG 10 FRASCOS MONODOSIS DE 15ML SOLUCION ORAL LAB. ITF;7809591400564;0;0;25000
;FISIOLIMP soluc 0.9 50 ml;7800068012099;0;0;7000
;FISIOMAR SOLUCION ISOTONICA DE AGUA DE MAR X125ML LAB. PASTEUR;7800068150012;0;0;11000
;FITTIG COBRE SPRAY DESODORANTE 100G;7800018175966;1;0;5500
;FITTIG EXPERT TALCO 60G;7800018160009;0;0;5000
;FITTIG TALC DES LAB DUK 100G;7800018131764;0;0;2500
;FITTING WILD BERRIES DESODORANTE SPRAY PARA PIES Y CALZADO 90G LAB ANDROMACO;7800018169224;0;0;5500
;FIXODENT ADHESIVO DENTAL;76660008649;0;0;11000
;FIXOMULL GASA STRETCH 5-10 MT X 1 UNID -DM-;4042809017687;0;0;9000
;FIXOMULL STRETCH TEJIDO AUTOADHESIVO 10CM X 10M X1UND BSN MEDICAL;4042809017717;0;0;16000
;FLAMIR ADAPALENO 0.1% 30GRS GEL DERMICO LAB BAGO.;7800028071579;0;0;21000
;FLAMIR GEL ADAPALENO X30G;7800028002627;3;0;25000
;FLANO LOCION HOMBRE.200ML;7804948112008;0;0;10000
;FLAPEX 4%SOLUCION ORAL GOTAS 15ML/ SIMETICONA;76046198610379;10;0;7500
;FLAPEX E SIMETICONA 60MG X20 CAPS LAB. ANDROMACO;7800018000558;30;0;7000
;FLAPEX SIMETICONA 4G 15ML LAB. ANDROMACO;7861073971177;1;0;7500
;FLAPEXEX10 CAPS;7800018000596;0;0;5500
;FLECTANE NAPROXENO + ESOMEPRAZOL 500MG + 20MG X10COMP LAB. SANITAS;7800038000040;0;0;11000
;FLEMEX J.A.T. FORTE JARABE X120ML ABBOTT B;7800026025499;0;0;15000
;FLEMEX J.A.T. JARABE X120ML ABBOTT;7800026025505;0;0;14000
;FLEXFULL GEL DICLOFENACO DIETILAMINA 1.16G X35G LAB. GENOMMA;7756459000438;0;0;8000
;FLEXIBLE BIBERON VIDRIO 120ML4OZ PIGEON;4902508002820;3;0;9500
;FLEXIBLE BIBERON VIDRIO 50ML2OZ PIGEON;4902508033084;4;0;9000
;FLEXIBLE BOTELLA VIDRIO 240ML8OZ PIGEON;4902508002806;2;0;10000
;FLEXIVE CREMA;4054839561801;4;0;15000
;FLIXONASE FLUTICASONA PROPIONATO 50MCG 120DOSIS LAB. GSK;7800029000271;0;0;32000
;FLIXOTIDE  FÑUTICASONA POPIONATO  125MCG  120DOSIS  LAB. GSK;7800029002602;3;0;48000
;FLIXOTIDE FLUTICASONA PROPIONATO 250MCG 120DOSIS LAB. GSK;7800029002626;0;0;70000
