Producto;Codigo;Stock;Costo;Precio;Categoria
CALENDADERM UNGÜENTO CALENDULA USO EXTERNO X 20GR;2030720013743;2;0;5500;SIN CLASIFICAR
CALENDULA MATICO X30ML GOTAS ORALES;2010381103816;4;0;7000;SIN CLASIFICAR
CALMATOL JARABE 60ML FQP;7800023226608;0;0;7000;SIN CLASIFICAR
CALORUB 35G;310742006230;22;0;4000;SIN CLASIFICAR
CALORUB FORTE X35G;310742006247;80;0;4500;SIN CLASIFICAR
CALORUB MENTHOLATUM 95 GR. CREMA;310742006261;29;0;8000;Fórmulas especificados por Minsal
CAM BETAMETASONA + DEXCLORFENIRAMINA MALEATO 0.25MG + 2.00MG X30COMP. LAB. TEVA;7800007187833;10;0;12000;Corticosteroides, esteroides anabólicos
CAN-OUT SPRAY AMARGANTE ANTIMORDISQUEOS X100ML DRAG PHARMA;7800006006678;0;0;8000;SIN CLASIFICAR
CANESTEN CLOTRIMAZOL 1% 20 GRS. CREMA LAB.;7891106000185;20;0;3500;Fungicidas o antimicóticos
CANESTEN spr CLOTRIMAZOL 1G X40ML LAB. BAYER;7805750003867;0;0;7500;Fungicidas o antimicóticos
CANISH ESPUMA  SHAMPOO EN SECO 160G;7800006003783;3;0;4000;SIN CLASIFICAR
CANISH SHAMPOO BALSAMICO 390ML;7800006001598;0;0;5000;SIN CLASIFICAR
CANISH SHAMPOO EXTRA BRILLO 390ML;7800006004469;0;0;7500;SIN CLASIFICAR
CANISH SHAMPOO EXTRACTO DE HIRBAS PARA PERROS X390ML DRAG PHARMA;7800006004452;0;0;4000;SIN CLASIFICAR
CANISH SHAMPOO HIPOALERGENICO PARA PERROS X390ML DRAG PHARMA;7800006004476;0;0;5950;SIN CLASIFICAR
CAPRIMIDA D CALCIO CARBONATO + COLECALCIFEROL 320MG + 125UI X30CAPS LAB. ABBOTT;7800026065099;12;0;7500;Sales de calcio y reguladores del calcio
CAPRIMIDA D FORTE CALCIO CARBONATADO-COLECALCIFEROL 500MG 400UI 30 CAPS LAB. ABBOT;7800026065105;0;0;9000;Sales de calcio y reguladores del calcio
CAPSULA CHINA CHANCAPIEDRA + UVA URSI + ALFALFA X60CAP LAB. FUENTE VITAL;737186551148;0;0;4000;SIN CLASIFICAR
CARBON SULFAGUANIDINA 127 MG. LAB. VALMA;7800044000409;0;0;600;Antídotos, quelantes y eméticos
CARBON SULFAGUANIDINA X10 UND;75613044476305;0;0;500;Antídotos, quelantes y eméticos
CARBON SULFAGUANIDINA X20 COMPR. LAB VALMA;7800044000126;0;0;0;Antídotos, quelantes y eméticos
CARBON VEGETAL 60 CAP;737186551643;10;0;5000;Antídotos, quelantes y eméticos
CARBON VEGETAL D6 MEDICAMENTO HOMEOPATICO 90COMP. LAB. KNOP;2000110413958;0;0;4000;Antídotos, quelantes y eméticos
CARBORON CARBONATO DE LITIO 300MG X50COMP LAB. ROYAL PHARMA;7800059002818;0;0;12000;Antidepresivos
CARBORON CARBONATO DE LITIO X 400MG X 50 COMP X LAB RETEARD;7800059002542;1;0;29000;Antidepresivos
CARBORON RATARD CARBONATO DE LITIO X400MG X30COMP.;7800059002535;5;0;21000;Antidepresivos
CARDO MARIANO 400MG X90CAPS LAB. MUNDO NATURAL SPA;8000000000101;25;0;6500;SIN CLASIFICAR
CARDO MARIANO T.M. GOTAS ORALES X30ML FARMACIA MUNDO NATURAL;9001213011266;0;0;5000;SIN CLASIFICAR
CARDOMARIANO 500MG X60CAPS CNP;737186233228;0;0;5000;SIN CLASIFICAR
CARDUS MARIANUS T.M. X30ML. XIMENA POLANCO;7800085000215;58;0;7000;SIN CLASIFICAR
CAREFREE PROTECCION 40PROT CAR;7702031502548;0;0;2500;SIN CLASIFICAR
CARIAMYL ANTISEPTICO X20G CREMA LAG. PRATER;7804918402399;0;0;5000;Fórmulas especificados por Minsal
CARIAMYL CREMA 40G;7804918403037;0;0;7000;Fórmulas especificados por Minsal
CARISTOP 5000 FLORURO DE SODIO 51 GRS. 1 UND LAB. MAVER;7800004508396;6;0;8000;Agentes alcalinizadores
CARISTOP BI- FLUORADA PASTA DENTAL X 100 G LAB. MAVER;7800004241453;0;0;5500;Dermatológicos, fanereos
CARISTOP FLUORURO DE SODIO 0.2% 250ML LAB. MAVER;7800004000128;0;0;9000;Agentes alcalinizadores
CARISTOP FLUORURO DE SODIO 005 250 ML;7800004000111;0;0;5500;Agentes alcalinizadores
CARISTOP SENSITIVE CREMA DENTAL X 100 G LAB. MAVER;7800004507412;0;0;6000;Fórmulas especificados por Minsal
CARMELOSA SODICA CARBOXIMETILCELULOSA SODICA 5MG 15ML LAB. HOSPIFARMA;7804640560664;0;0;2000;Medicamentos y Productos Farmacéuticos
CARTILAGO D6 MEDICAMENTO HOMEOPATICO 50 COMP LAB. KNOP;2000120414044;0;0;4000;SIN CLASIFICAR
CARVAS D OLMESARTAN MEDOXOMILO + HIDROCLOROTIZIDA 40MG + 12.5MG X30COMP LAB. DE CHILE;7800007803221;0;0;10000;Antihipertensivos
CARVAS OLMESARTAN MEDOXOMILO +HIDROCLOROTIZIDA 20MG + 12.5MG X30COMP LAB. DE CHILE;7800007803214;0;0;8000;Antihipertensivos
CASENGLICOL POLVO PARA SOLUCION ORAL 16 SOBRES SYNTHON;7800008000902;0;0;16000;Otros equipos electrom. no especificados
CASMED KETOCONAZOL SHAMPOO 2;7804640561319;0;0;7000;Fungicidas o antimicóticos
CASSARA NEUMOCORT BUDESONIDA 200 MCG. 200 DOSIS LAB. CASSARA;7795373012912;16;0;15000;Broncodilatadores
CASTAÑA CREMA DE MANOS HIDRATANTE X50ML MAVER;7800004004300;0;0;1500;Fórmulas especificados por Minsal
CASTING CREME GLOSS LOREAL 316 CIRUELA;7896014184552;0;0;4000;SIN CLASIFICAR
CASTING TINTURA CREME GLOSS 670 CHOCOLATE LOREAL;7899706135887;0;0;4800;SIN CLASIFICAR
CATETER 18G X 1 1/4;7805100003387;0;0;1000;Cánulas, estiletes y prod. succión quir.
CATETER 18GA X 1.16IN;76056605937428;0;0;1000;Cánulas, estiletes y prod. succión quir.
CATETER INTRAVENOSO 14GX2 2.20X50MM 329MLMIN - NIPRO MEDICAL CJ L;7898909175416;0;0;1000;Cánulas, estiletes y prod. succión quir.
CATETER INTRAVENOSO 24GX 34;CATETRE;0;0;1000;Cánulas, estiletes y prod. succión quir.
CATETER INTRAVENOSO CON TEFLON;7806130012011;0;0;1000;Cánulas, estiletes y prod. succión quir.
CATETER INTRAVENOSO CON TEFLON 16GX 1 1.4 X1UND CRANBERRY CJ L;7806130012004;0;0;1000;Cánulas, estiletes y prod. succión quir.
CATETER IV 18GA X 1.16IN 1.3X30MM 105MLMIN INSYTE;100382903883172;0;0;1000;Cánulas, estiletes y prod. succión quir.
CATETER IV 20G 1 14;7805100003431;0;0;1000;Cánulas, estiletes y prod. succión quir.
CATRAXAL CIPROFLOXACINO 3MG X10ML LAB. FAES FARMA;8470006826171;1;0;19000;Oftálmicos
CAVILON PROTECTOR CUTANEO 28ML;76062954055979;0;0;14000;SIN CLASIFICAR
CEBION VITAMINA C X30ML LAB. NOVOFARMA;7702418001510;0;0;8000;Vitaminas, minerales y oligoelementos
CEFADROXILO 500MG X8CAPS LAB. ANDROMACO;7800018129228;0;0;2000;Antibióticos
CEFIN SHAMPOO AL 2 KETOCONAZOLN 240ML;7800028001996;0;0;22000;SIN CLASIFICAR
CEFIRAX CEFPODOXIMA 200MG X10COMP LAB. SAVAL;7800060118270;0;0;27000;Antibióticos
CEFIRAX SO POLVO CEFPODOXIMA 100MG5ML X75ML SAVAL;7800060118355;2;0;26000;Otros equipos electrom. no especificados
CEFRADINA 500MG X8CAPS LAB. MINTLAB;7800063120102;0;0;1500;Antibióticos
CELEBRA CELECOXIB 200MG X10CAPS LAB. PFIZER;7800001004563;1;0;25000;Analgésico Antinflamatorio
CENTRUM ADULTO MULTIVITAMINICO MULTIMINERAL X30COMP.;7804900000770;0;0;7000;Vitaminas, minerales y oligoelementos
CENTRUM HOMBRE CMREC 30COMPR;7896090611751;11;0;10000;SIN CLASIFICAR
CENTRUM HOMBRE MULTIVITAMINICO MULTIMINERAL X30COMP. HEALTHCARE;7804900000794;3;0;9000;Vitaminas, minerales y oligoelementos
CENTRUM MINI MULTIVITAMINICO Y MULTIMINERAL 30 COMP. LAB. GSK;7804900000763;0;0;8000;Vitaminas, minerales y oligoelementos
CENTRUM MUJER MULTIVITAMINICO MULTIMINERAL X30COMP. HEALTHCARE;7804900000817;0;0;8500;Vitaminas, minerales y oligoelementos
CENTRUM SILVER HOM 60COMP;7804900000855;1;0;24000;SIN CLASIFICAR
CENTRUM SILVER MUJER 30COMPRIMIDOS;7896090611768;1;0;12000;SIN CLASIFICAR
CENTRUM SILVER MULTIVITAMINICO MULTIMINERAL X30COMP. HEALTHCARE;7804900000831;0;0;12000;Vitaminas, minerales y oligoelementos
CEPILLO CAREY COJIN CON MANGO GRUESO;7804969800373;0;0;8500;Dispositivos y accesorios médicos
CEPILLO CAREY METALICO CON MANGO;7804969800434;0;0;6500;Dispositivos y accesorios médicos
CEPILLO COLOR BUTTERFLY;8424559085165;0;0;2000;Dispositivos y accesorios médicos
CEPILLO COLOR BUTTERFLY PROFESIONAL;8424559085141;0;0;2000;Dispositivos y accesorios médicos
CEPILLO COLOR BUTTERFLY PROFESSIONAL;8424559085110;0;0;2500;Dispositivos y accesorios médicos
CEPILLO CURAPROX 1009 SINGLE;7612412910094;0;0;4500;Dispositivos y accesorios médicos
CEPILLO CURAPROX 5460;7612412423174;7;0;5500;Dispositivos y accesorios médicos
CEPILLO DENTAL CARS +2 AÑOS COOL & GOOD X3 PACK;7503030215879;0;0;2500;Dispositivos y accesorios médicos
CEPILLO DENTAL COOLGOOD DISNEY MONSTERS X1UND KHATAR;7503036426705;0;0;3500;Dispositivos y accesorios médicos
CEPILLO DENTAL ELECTRICO CARS SUAVE;4210201334774;2;0;18000;Dispositivos y accesorios médicos
CEPILLO DENTAL HELLO KITTY X1 CON TAPA;7503036426217;0;0;3500;Dispositivos y accesorios médicos
CEPILLO DENTAL HELLO KITTY X2 UND SUAVE;7503036426422;0;0;2500;Dispositivos y accesorios médicos
CEPILLO DENTAL HELLO KITTY X3UND COOL &GOOD;7503036426194;0;0;2500;Dispositivos y accesorios médicos
CEPILLO DENTAL JUNIOR +3;7805633020349;12;0;563;Dispositivos y accesorios médicos
CEPILLO DENTAL MOSTERS X2UND SUAVES +4;7503036426446;0;0;2500;Dispositivos y accesorios médicos
CEPILLO DENTAL MOSTERS X3 UND 2+ SUAVE;7503030215886;0;0;2500;Dispositivos y accesorios médicos
CEPILLO DENTAL NIÑAS ENCANTO SUAVE 2+ PACK X3UND;7503036426095;0;0;2500;Dispositivos y accesorios médicos
CEPILLO DENTAL PHB JUNIOR;8427426020108;0;0;3500;Dispositivos y accesorios médicos
CEPILLO DISNEY ENCANTO COOLGOOD X1UND;7503036426071;0;0;1500;Dispositivos y accesorios médicos
CEPILLO DURO X2;7804925543283;0;0;2500;Dispositivos y accesorios médicos
CEPILLO HEXO BRUS -L-;8424559085042;0;0;2000;Dispositivos y accesorios médicos
CEPILLO HEXO HAIR BRUS -S-;8424559085028;0;0;2000;Dispositivos y accesorios médicos
CEPILLO MEDIO FRESH X2UND COLGATE;7702010130250;7;0;2500;Dispositivos y accesorios médicos
CEPILLO NINO PHB PETIT;8427426020207;0;0;3500;Dispositivos y accesorios médicos
CEPILLO ORAL-B PROCLEAN;4210201826613;1;0;14000;Dispositivos y accesorios médicos
CEPILLO PARA CABELLO (M) 1UND. HEXO;8424559085035;0;0;2000;Dispositivos y accesorios médicos
CEPILLO PARA EL CABELLO CUADRADO;7784391054097;0;0;2500;Dispositivos y accesorios médicos
CEPILLO PARA EL CABELLO KIRAKIRA;6922331000495;0;0;2000;Dispositivos y accesorios médicos
CEPILLO PARA EL CABELLO PROFESIONAL BUTTERFLY;8424559085127;0;0;2500;Dispositivos y accesorios médicos
CEPILLO PHB SUPER 8 MEDIO + PASTA DENTIFRICA;7805163000194;27;0;3500;Dispositivos y accesorios médicos
CEPILLO PHP ORTODONCIA;7805163000200;0;0;4900;Dispositivos y accesorios médicos
CEPILLO SUAVE PHB SUPER 7 + PASTA CENTIFRICA;7805163000187;0;0;3500;Dispositivos y accesorios médicos
CEPILLO VITIS DURO;8427426006508;0;0;5100;Dispositivos y accesorios médicos
CEPOILLOS DE DIENTES FAMSET DURO X2;7805633018643;6;0;1000;SIN CLASIFICAR
CERA DEPILADORA VGETAL SPRING NAT;7805633014157;9;0;2000;Dispositivos y accesorios médicos
CERA DEPILATORIA EN PERLAS X100GRS SPRING NATURAl;7805633014140;11;0;1500;Dispositivos y accesorios médicos
CERA PROTECTORA PARA ORTODONCIA VITIS X2;8427426046535;9;0;5500;Dispositivos y accesorios médicos
CERA V LOCION HIDRAT 236ML;3337875597210;8;0;12000;Dispositivos y accesorios médicos
CERAMIDE GEL LIMPIADOR;5031413938395;0;0;6500;SIN CLASIFICAR
CERAVE 340G. CREMA HIDRATANTE;3337875597227;0;0;19000;Fórmulas especificados por Minsal
CERAVE CREMA HIDRATANTE POTE 454G;3337875597388;6;0;18000;Fórmulas especificados por Minsal
CERAVE CREMA REPARADORA DE MANOS 50 ML.;3337875597319;8;0;6000;Fórmulas especificados por Minsal
CERAVE GEL CREMA;3337875909525;0;0;15000;Fórmulas especificados por Minsal
CERAVE GEL LIMPIADOR ESPUMOSO 236ML;3337875597197;16;0;11000;SIN CLASIFICAR
CERAVE GEL.LIM..CONT.236ML;3337875784054;0;0;13000;SIN CLASIFICAR
CERAVE LOCION HIDRATANTE PIEL SECA A MUY SECA 473 ML;3337875597395;0;0;17000;SIN CLASIFICAR
CERCIORA T LEVONORGESTREL 1.5MG X1COMP. EXELTIS B;7804656600415;0;0;5000;Estrógenos, progestágenos y anticoncep.
CERMA PARA PEINAR PANTENE RIZOS X300ML;7501001170080;3;0;4500;SIN CLASIFICAR
CEROTTO MEDS IPOALLERGENICO TELA 500X5 CM FARMACEROTTO CJ VI;8000246003645;0;0;3000;Cintas adhesivas y productos relacionado
CEROTTO MEDS IPOALLERGENICO TELA 5X2.5CM CJ XII;8000246003638;0;0;1500;Cintas adhesivas y productos relacionado
CETIRIZINA CLORHIDRATO 10 MG. 30 COMP. LAB. CURASPRING;7804673040362;0;0;2000;Antihistamínicos
CETRAXAL CIPROFOXACINO + FLUOCINOLONA 3MG + 0.25MG X10ML LAB. FAES FARMA;8470008661039;5;0;21000;SIN CLASIFICAR
CETRIL BACLOFENO 10MG X50COMP LAB. ROYAL PHARMA;7800059002832;2;0;30000;Relajantes músculo-esquelético centrales
CHAMOMILLA COMPUESTA X30ML GOTAS ORALES KNOP;2000341103260;0;0;7500;SIN CLASIFICAR
CHAMOMILLA T.M;123456;0;0;5000;SIN CLASIFICAR
CHAMOMILLA T.M. GOTAS ORALES X30ML FCH;KDJFKDSJIFVD;0;0;5000;SIN CLASIFICAR
CHAMOMILLA T.M. GOTAS ORALES X30ML KNOP;2010380020015;0;0;7000;SIN CLASIFICAR
CHELIDONIUM D6 MEDICAMENTO HOMEOPATICO 90 COMP. LAB. KNOP;2000110414368;0;0;3500;SIN CLASIFICAR
CHELTIN AMP. IV 100MG5ML X5;7730969307003;0;0;65000;SIN CLASIFICAR
CHELTIN FC HIERRO + ACIDO FOLICO 30MG + 600MCG X30COMP LAB. MEGALAB;7730969301162;18;0;13500;Vitaminas, minerales y oligoelementos
CHELTIN HIERRO 30 MG X30ML LAB. MEGALABS;7730698003504;0;0;12500;Vitaminas, minerales y oligoelementos
CHERRY SHINE PROTECTOR LABIAL CEREZA 4.8 GR. 1 UND. BEIERSDORF;7791969850777;0;0;5000;SIN CLASIFICAR
CHITOSAN X60CAPS FUENTE VITAL;737186551476;1;0;5000;SIN CLASIFICAR
CHUPETE BESTHOUSE;7806125847130;0;0;4000;SIN CLASIFICAR
CHUPETE BESTHOUSE S. 0 M+;4710693223100;0;0;2800;SIN CLASIFICAR
CHUPETE DE ENTRETENCION CON TAPA M 6M;4710693223117;0;0;3000;Dispositivos y accesorios médicos
CHUPETE DE SILICONA MAM 6+ SILICONA X2UND;9001616203954;0;0;11000;SIN CLASIFICAR
CHUPETE ENTRETENCION SILICONA BEST HOUSE X1UND;7806125847673;0;0;3500;SIN CLASIFICAR
CHUPETE MAM STAR 0-2 X2UND;9001616203909;0;0;11000;SIN CLASIFICAR
CHUPETE MAMADERA 6+ MESES  B/ST BUBU;7805633013754;4;0;1500;SIN CLASIFICAR
CHUPETE MAMADERA 6M X2UND BUBU;7805633012627;3;0;1500;SIN CLASIFICAR
CHUPETE MAMADERA BOCA ANCHA FLUJO VARIABLE X 2 UND;8850217000094;0;0;4500;SIN CLASIFICAR
CHUPETE MAMADERA CHUPETE STANDAR 3MESES 2UNIDADES;8859263201165;0;0;2800;SIN CLASIFICAR
CHUPETE PACK X2 TWISTSHAKE;7350083122889;0;0;6500;Equipamiento de uso médico
CHUPETE PARA MAMADERA BOCA ANCHA M. 2 UNDS. BEST HOUSE;8859263201172;0;0;3800;SIN CLASIFICAR
CHUPETE PIGEON MINI LIGHT X2;4902508782494;0;0;9000;SIN CLASIFICAR
CHUPETE PIGEON SOF TOUCH LL 9+;4902508808309;0;0;7000;SIN CLASIFICAR
CHUPETES DE SILICONA CON ESTUCHE 0-3M X2UND BEST HOUSE;8850217000124;0;0;3500;SIN CLASIFICAR
CHUPETES DE SILICONA PACK B.H.;8850217000131;0;0;3500;Equipamiento de uso médico
CIALIS TADALAFILO 20MG X2COMP LAB. LILLY;7501082242034;1;0;35000;Tratamiento disfunción sexual
CICAPLAST BALSAMO LABIAL BARRERA REPARADORA X7.5ML LA ROCHE POSAY;30106659;0;0;8000;Medicamentos y Productos Farmacéuticos
CICAPLAST BALSAMO REPARADOR X40ML LAB LA ROCHE-POSAY;3337875586269;0;0;27000;SIN CLASIFICAR
CICATRICURE ANTIARRUGAS CREMA GEL 15G;7798140258230;1;0;16000;Fórmulas especificados por Minsal
CICATRICURE BEAUTI CARE X50G;7798140252085;4;0;15000;SIN CLASIFICAR
CICATRICURE GEL CICATRICES X60G;650240001864;3;0;15000;SIN CLASIFICAR
CICATRICURE GEL CICATRIZANTE 30G;650240003974;5;0;10000;SIN CLASIFICAR
CICATRICURE ROSITA CREMA FACIAL ANTIARRUGAS 30G;650240029950;0;0;10000;Fórmulas especificados por Minsal
CICATRICURE ROSITA CREMA FACIAL ANTIARRUGAS X60G;650240003196;3;0;16500;Fórmulas especificados por Minsal
CICLA PLAS BAUM 5;3337875816847;0;0;17000;SIN CLASIFICAR
CICLONIC CICLOPIROX 8G 6.6ML LAB. GALENICUMDERMA;8437024105053;0;0;17500;Fungicidas o antimicóticos
CIDOTEN RAPI-LENTO BETAMETASONA+ BETAMETASONA ACETATO 3MG+ 3MG X5ML LAB. ORGANON;7800019000458;0;0;30000;Corticosteroides, esteroides anabólicos
CILIAS TADALAFILO 20MG;7501082242010;10;0;18000;Tratamiento disfunción sexual
CILOSVITAE CILOSTAZOL 100MG X28COMP LAB. GALENICUM;7804653720055;9;0;9000;Trombolíticos/inhib. agregación plaquet.
CILOSVITAE CILOSTAZOL 50MG. X28COMP. LAB. GALENICUM;8437020503150;8;0;8000;Trombolíticos/inhib. agregación plaquet.
CINERARIA MARITIMA COMPUESTA X30ML KNOP;2000341103222;0;0;6500;SIN CLASIFICAR
CINTA ADHESIVA 5CMX9.14M;CAH5;0;0;2500;Dispositivos y accesorios médicos
CINTA ADHESIVA NEUROMUSCULAR AZUL 5CM X 5MTS HUB SPORT;7805633011040;2;0;5000;Dispositivos y accesorios médicos
CINTA ADHESIVA PLASTICA 2.50 CM X 9 MTS;7804680940211;0;0;1500;Dispositivos y accesorios médicos
CINTA ADHESIVA ZINC 2.5X5M;6920201222015;26;0;2000;Dispositivos y accesorios médicos
CINTA ADHESIVA ZINC LATA 5X5;6920201222022;14;0;3000;Dispositivos y accesorios médicos
CINTA KINESIOLOGICA TAPE. COLOR NEGRO. 5CM X 5 MTS. RECOVERY;7804656850001;0;0;7500;Dispositivos y accesorios médicos
CINTA MICROPOROSA BOBINA 5MT X 1.25CM;75883043509487;18;0;1000;Dispositivos y accesorios médicos
CINTA MICROPOROSA BOBINA 5MT X 2.50CM;75883059937474;12;0;1500;Dispositivos y accesorios médicos
CINTA MICROPOROSA BOBINA 5MT X 5CM;75883067116852;6;0;2000;Dispositivos y accesorios médicos
CINTA MICROPOROSA CORTADOR 1.25 X 9.14 18MTS;6920220511008;17;0;1000;Dispositivos y accesorios médicos
CINTA MICROPOROSA CORTADOR 2.5CMX9.14M ROKYMEDS CJ XII;6920190327104;0;0;2000;Dispositivos y accesorios médicos
CINTA MICROPOROSA CORTADOR 2.5X9.14;6920220511015;0;0;1000;Dispositivos y accesorios médicos
CINTA MICROPOROSA CORTADOR 5 X 9.14M PIEL;6920190327111;0;0;2500;Dispositivos y accesorios médicos
CINTA PAPEL CRANBERRY 5CM 9MTS;76022132583090;1;0;7000;Dispositivos y accesorios médicos
CINTA PAPEL MICROPORE 24MM-9.1MT;76005146944427;0;0;7000;Dispositivos y accesorios médicos
CINTA PAPEL MICROPOROSA NEXCARE 24MM 9.1MTS;76022353270971;3;0;6000;Dispositivos y accesorios médicos
CINTA PLASTICA 2.5X9.14 MTS;53453434;11;0;1500;Dispositivos y accesorios médicos
CINTA PLASTICA BOBINA 1.25CMX9.14 MTS;75874664050340;18;0;1000;Dispositivos y accesorios médicos
CINTA PLASTICA BOBINA 9.14MT X 5;75613046966610;0;0;1500;Dispositivos y accesorios médicos
CINTA TRANSPARENTE Y FLEXIBLE NEXCARE;7805070400810;3;0;5000;Dispositivos y accesorios médicos
CIPRODEX CIPLOXACINO + DEXAMETASONA 3MG + 1MG X7.5ML LAB. SAVAL;7800060118867;2;0;24000;Corticosteroides, esteroides anabólicos
CIPRODEX CIPROFLOXACINO + DEXAMETASONA 3MG + 1MG X5ML LAB. SAVAL;7800060030183;0;0;23000;Oftálmicos
CIPRODEX CIPROFLOZACINO 0.3DEXAMETASONA;7800060037007;0;0;23000;SIN CLASIFICAR
CIPROFIBRATO 100MG X30CAPS LAB. ALPESCHEMIE;7800097002412;26;0;9000;Antihiperlipidémicos/ hipocolesterolém.
CIPROVAL CIPROFLOXACINO 3MG X3.5G UNGUENTO OFTALMICO LAB. NICOLICK;7800060110106;2;0;22000;Oftálmicos
CIPROVAL CIPROFLOXACINO 3MG X5ML SOLUCION OFTALMICA LAB. NICOLICK;7800060001848;0;0;21000;Oftálmicos
CIPROVAL CIPROFLOXACIONO 3MG X5ML SOLUCION OTICA LAB. SAVAL;7800060111776;1;0;22000;Otras sales
CIRCALIFE MELATONINA 30CAPS;7803501004446;12;0;1500;Otros inductores del sueño
CIRUELAX CASSIA ANGUSTIFOLIA + CASSIA ACUTIFOLIA D 4.4G + 2.2G 150G LAB. GARDEN HOUSE;7803510773319;3;0;4000;SIN CLASIFICAR
CIRUELAX CASSIA ANGUSTIFOLIA + CASSIA ACUTIFOLIA D 4.4G + 2.2G 600G LAB. GARDEN HOUSE;7803510300201;1;0;6000;SIN CLASIFICAR
CIRUELAX EN TA.30 BOLSAS. 1500MG.;7803510773234;0;0;5500;SIN CLASIFICAR
CIRUELAX FORTE CASSIA ANGUSTIFOLIA VAHL 125MG X60COMP LAB. GARDEN HOUSE;7803510002396;4;0;8000;SIN CLASIFICAR
CIRUELAX FORTE CASSIA ANGUSTIFOLIA VAHL 2G 150G LAB. GARDEN HOUSE;7803510002648;10;0;3500;SIN CLASIFICAR
CIRUELAX FORTE JALEA LAXANTE 300G;7803510002655;6;0;6000;SIN CLASIFICAR
CIRUELAX FORTE X24COMP. GARDEN HOUSE;7803510001931;3;0;3500;SIN CLASIFICAR
CIRUELAX JAL. 300GR;7803510441010;3;0;4500;SIN CLASIFICAR
CIRUELAX MINITABS 75 MG X 60 COMP.;7803510002259;5;0;5000;SIN CLASIFICAR
CITONEURON CITIDIN 5 + URIDIN 5 + HIDROXOCOBALAMINA 2.5MG + 1.5MG + 1MG X30CAPS LAB.FERRER;7804636590200;0;0;20000;SIN CLASIFICAR
CITRATO DE MAGNESIO 400MG 30 CAPS;76045309443599;12;0;3500;Vitaminas, minerales y oligoelementos
CITRATO MAGNESIO 90CAPS CNP;737186232993;0;0;8400;Vitaminas, minerales y oligoelementos
CLARAGINE 16 COMP ANTISEPTICO BUCOFARINGEO;7804918402054;77;0;1500;SIN CLASIFICAR
CLARIMIR F. NAFAZOLINAFENIRAMIA.15 ML;7800018000961;3;0;8000;SIN CLASIFICAR
CLARIMIR NAFAZOLINA CLORHIDRATO 0.12MG X15ML LAB. ANDROMACO;7800018000954;73;0;3500;Oftálmicos
CLARITROMICINA 500MG X14COMP LAB. CHEMO;7800041040873;0;0;3500;Antibióticos
CLATIC CLARITROMICINA 250 MG X80ML LAB. PASTEUR;7800068011023;0;0;17000;Antibióticos
CLAVAM DUO AMOXICILINA + ACIDO CLAVULANICO 400MG + 57MG X70ML LAB. EUROFARMA;7891317129491;0;0;10000;Antibióticos
CLAVAM DUO AMOXICILINA + ACIDO CLAVULANICO 875MG125MG 14 COMP.;7891317120566;0;0;8000;Antibióticos
CLAVINEX DUO AMOXICILINA -ACIDO CLAVULANICO 400MG 57MGX 5ML X70ML SAVAL;7800060111691;0;0;24000;Antibióticos
CLAVINEX DUO FORTE AMOXICILINA 800MGACIDO CLAVULANICO 57MG X70ML SAVAL;7800060116306;0;0;23000;Antibióticos
CLINDAMICINA CLORHIDRATO DE CLIMDAMICINA 300MG X16CAPS LAB. VITAFARMA;7806130011205;12;0;30000;Antibióticos
CLINICAL ADVANCE PIEL SENSIBLE 350ML;7804907001268;6;0;3500;SIN CLASIFICAR
CLOB X 0.05% SH X 125 ML LAB GALDERMA;3499320003827;2;0;45000;SIN CLASIFICAR
CLOBETASOL PROPIONATO 0.05. SOL TOPICA;7800046005624;0;0;5000;Dermatológicos, fanereos
CLOBETASOL PROPIONATO CREMA 25 GR HOSPIFARMA;7804640560411;0;0;1000;Dermatológicos, fanereos
CLOE PROTECTORES DIARIOS ULTRAFINO;6934575711181;6;0;1000;SIN CLASIFICAR
CLOE TOALLA FEM UKTRA FINA X8;6934575711198;1;0;1000;Ropa blanca del hospital
CLOE TOALLAS FEMENINA X7 UND;6934575711228;3;0;1000;SIN CLASIFICAR
CLOFEXAN BETAMETASONA + DEXCLORFENAMINA MALEATO 0.25MG + 2MG X120ML LAB. BAGO;7800028112104;5;0;14000;Corticosteroides, esteroides anabólicos
CLONAZEPAN 0.5MG X30COMP LCH B;7800007702463;0;0;1500;SIN CLASIFICAR
CLONAZEPAN 2.0MG X30COMP LCH B;7800007702548;0;0;3000;SIN CLASIFICAR
CLONEX CD CLONAZEPAM 0.5MG X30COMP LS B;7800060412897;3;0;6000;Ansiolíticos, tranquiliz., antimaníacos
CLONEX CD CLONAZEPAM 2MG X30COMP LS B;7800060412972;0;0;11000;Ansiolíticos, tranquiliz., antimaníacos
CLONIXINATO DE LISINA 125 MG. 10 COMP.;7730969300332;0;0;1000;Analgésico
CLORANFENICOL 1 UNGUENTO OFTALMICO X5G. MEDIOVAFARMA;7804636190301;0;0;1500;Medicamentos y Productos Farmacéuticos
CLORANFENICOL 5MG X10ML LAB.PHARMATECH;7804657990362;0;0;1500;Medicamentos y Productos Farmacéuticos
CLORANFENICOL CLORANFENICOL LEVOGIRO 0.01G X3.5G LAB. NICOLICK;7800060003064;0;0;2000;Medicamentos y Productos Farmacéuticos
CLORANFENICOL GOTAS OFTALMICA 10ML OPKO B;7804620834648;0;0;2000;Medicamentos y Productos Farmacéuticos
