Código genérico,Nombre producto genérico,Descripción producto genérico,Tipo producto,Código ONU,Clasificación ONU,Clasificación interna,Estado Código genérico,Canasta Intermediación,Canasta Esencial de Medicamentos,Fecha inicio abastecimiento,Estado producto Intermediación,Motivo eliminación Intermediación,Canasta Programa Ministerial,Detalle Programas Ministeriales,Canasta Farmacia Privada,Prioridad
100001795,VACUNA HAEMOP INFLUEN TIPO B MONO DO FAM,VACUNA CONTRA HAEMOPHILUS INFLUENZAE TIPO B. USO A PARTIR DE LOS 2 MESES DE EDAD. PRESENTACION MONODOSIS EN LIOFILIZADO MAS DILUYENTE. ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA,Refrigerados,51201627,Vacuna antihemofilus,"Vacunas, antígenos y toxoides",Activo,Intermediación,0,5/6/2010,OK,,Programas Ministeriales,Prog. Nac. de Inmunizaciones (PNI),,
100001796,VACUNA PNEUMOC POLISAC 23 VALENTE X 5 DO,"VACUNA PNEUMOCOCICA POLISACARIDA 23 VALENTE MULTIDOSIS  CADA DOSIS DEBECONTENER 25 MCG DE LOS 23 SEROTIPOS :1,2,3,4,5,6B,7F,8,9N,9V,10A,1112F,14,15B,17F,18C,19A,19F,20,22F,23F,33F Y FENOL MAX. 1.25 MG COMOCONSERVANTE. UNIDAD: FRASCO AMPOLLA 5 DOSIS",Fármacos,NULL,NULL,"Vacunas, antígenos y toxoides",Inactivo,,0,,,,,,,
100001797,VACUNA SARAMPION-RUBEOLA FAM 10DO C/SOLV,VACUNA SARAMPION-RUBEOLA POLVO O POLVO LIOFILIZADO CON SOLVENTE FAM 10DOSIS. ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DELCONTENIDO.,Refrigerados,51201646,Vacuna mixta antirru,"Vacunas, antígenos y toxoides",Inactivo,,0,,,,,,,
100001798,VACUNA TRES VIRICA MONO DO FAM,"VACUNA PARA LA PREVENCION DE SARAMPION, RUBEOLA Y PAROTIDITIS. PRESENTACION MONODOSIS EN LIOFILIZADO EN FRASCO AMPOLLA MAS DILUYENTE. ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR PORFRASCO AMPOLLA.",Refrigerados,51201628,Vacuna mixta antirru,"Vacunas, antígenos y toxoides",Activo,Intermediación,0,5/6/2010,OK,,Programas Ministeriales,Prog. Nac. de Inmunizaciones (PNI),,
100001799,VACUNA TRES VIRICA 5 DO O 10 DO FAM,"VACUNA PARA LA PREVENCION DE SARAMPION, RUBEOLA Y PAROTIDITIS. PRESENTACION 5 O 10 DOSIS EN LIOFILIZADO EN FRASCO AMPOLLA MAS DILUYENTE. ENVASERESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. PRECIO SERA EVALUADO POR DOSIS. COTIZAR POR FRASCO AMPOLLA.",Refrigerados,51201628,Vacuna mixta antirru,"Vacunas, antígenos y toxoides",Activo,Intermediación,0,5/6/2010,OK,,Programas Ministeriales,Prog. Nac. de Inmunizaciones (PNI),,
100001800,VACUNA TRIPLE DPT (DO 0.5 ML) FAM 10 DO,VACUNA TRIPLE DPT FRASCO AMPOLLA 10 DO: ANATOXINA DIFTERICA PURIFICADANO <(><<)> 30 UI. ANATOXINA TETANICA PURIFICADA NO<(><<)> 60 UI.BORDELLA PERTUSSISCELULA COMPLETA INACTIVADA NO <(><<)> 4 UI.  HIDROX ALUMINIO NO > 1.25MGMERCURIO TIOLATO SODICO MAX 0.05 MG. SOL NA CL 0.9%,Refrigerados,51201632,"Difteria, tétanos y","Vacunas, antígenos y toxoides",Inactivo,,0,,,,,,,
100001801,VACUOMETRO ANAE MED PRESION INSP-ESPIRAT,VACUOMETRO DE REGISTRO ANAEROIDE PARA MEDICION DE PRESIONES MAXIMAS CONRANGO DE PRESION ENTRE O Y +120; O Y -120 CM DE H2OBOQUILLA ADAPTABLE Y VALVULA DE 2 VIAS PARA REGISTRO DE PRESIONESMAXIMAS INSPIRATORIA Y ESPIRATORIA,Insumos,42271911,Kits de manómetro re,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100001802,ZIDOVUDINA 10MG/ML SOL ORAL/JBE X ML,ZIDOVUDINA 10 MG/ML O 50 MG/5ML SOLUCION ORAL O JARABE FRASCO 100 A 200ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR MILILITRO (ML).,Fármacos,51102321,Zidovudina,Antivirales,Inactivo,,0,,,,,,,
100001803,ANTITOXINA DIFTERICA 10000 UI FAM 2.5 ML,ANTITOXINA DIFTERICA 10000 UI AM 1 DO 2.5 ML VÍA DE ADMINISTRACIÓN IM/SCENVASE RESISTENTE,Refrigerados,51201604,Difteria,"Vacunas, antígenos y toxoides",Inactivo,,0,,,,,,,
100001804,OXIMA REACT. COLINEST. AM 250 MG/ML,OXIMA REACTIVADORA COLINESTERASA AMPOLLA 250 MG/ ML SOLUCION INYECTABLEENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR AMPOLLA.,Refrigerados,51211616,Antídotos,"Antídotos, quelantes y eméticos",Activo,,0,,,,Programas Ministeriales,Stock Crítico,,
100001806,FORMULA ESP P.AG1 10A24G PROT/100G TARRO,"FORMULA ESPECIAL PARA ADMINISTRACION A PACIENTE CON ACIDURIA GLUTARICA TIPO 1 (AG1) CON 10 A 24 G DE PROTEINA/100G DE PRODUCTO, EN POLVO PARA ADMINISTRACION ORAL. ENVASADO EN TARRO DE 400 GRAMOS HASTA 500 GRAMOS. UNIDAD DE DESPACHO EN CAJA HASTA 6 TARROS. ENVASE RESISTENTE CON SELLO QUEASEGURE LA INVIOLABILIDAD DEL CONTENIDO. PRECIO SERA EVALUADO POR GRAMODE PRODUCTO. COTIZAR POR TARRO.",Alimentos,42231804,Fórmulas suplementar,Fórmulas especificados por Minsal,Activo,,0,,,,,,,si
100001808,ARIPIPRAZOL 10 MG CM,ARIPIPRAZOL 10 MG COMPRIMIDO (NO BUCODISPERSABLE) ENVASADO EN BLISTER.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR COMPRIMIDO.,Fármacos,51141704,Risperidona,Antipsicóticos,Activo,Intermediación,1,6/10/2010,OK,,,,Farmacias Privadas,si
100001809,PACK VESTUARIO PARA BEBE,PACK VESTUARIO PARA BEBE,Insumos,53101905,Trajes de bebé,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100001810,EDETATO CALCICO DE SODIO 5% SOL.INY. AM,EDETATO CALCICO DE SODIO 5% (500MG/10 ML) SOLUCION INYECTABLE AMPOLLA.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR AMPOLLA.,Fármacos,51211605,Edetato disódico,"Antídotos, quelantes y eméticos",Activo,Intermediación,0,30/7/2010,OK,,Programas Ministeriales,Stock Crítico,,si
100001811,DIMERCAPROL 200 MG/2 ML SOL. INYECT AM,DIMERCAPROL 200 MG SOLUCION OLEOSA INYECTABLE AM 2 ML ENVASE RESISTENTECON SELLO QUE ASEGURE LA INVIOLABILIDAD DE CONTENIDO.,Fármacos,51211604,Dimercaprol,"Antídotos, quelantes y eméticos",Inactivo,,0,,,,,,,
100001812,TENOFOVIR/EMTRICITABINA 300/200MG CM REC,TENOFOVIR DISOPROXIL FUMARATO/EMTRICITABINA 300/ 200 MG COMPRIMIDO RECUBIERTO. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.,Fármacos,51102332,Tenofovir disoproxil,Antivirales,Activo,Intermediación,1,1/1/2023,OK,,Programas Ministeriales,VIH/SIDA,,si
100001813,RIFAMPICINA 100MG/5ML S.ORA FRA50 A 60ML,RIFAMPICINA 100 MG/5 ML SUSPENSION ORAL O JARABE FRASCO 50 ML A 60 ML.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.PRECIO SERA EVALUADO POR ML. COTIZAR POR FRASCO.,Fármacos,51102005,Rifampina,Antituberculosos,Activo,,0,,,,,,,si
100001820,INMUNOG ANTIRRAB HUMAN 150U.I/ML 2ML FAM,INMUNOGLOBULINA ANTIRRABICA HUMANA 150 U.I./ML. PRESENTACION EN FRASCO AMPOLLA DE 2 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLAVILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.,Refrigerados,51201801,Inmunoglobulinas bac,"Inmunoestimulantes, inmunoglobulinas",Activo,Intermediación,0,12/8/2014,OK,,Programas Ministeriales,Prog. Nac. de Inmunizaciones (PNI),,
100001822,ETAMBUTOL CLORHIDRATO 400 MG CM/CM REC,ETAMBUTOL CLORHIDRATO 400 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADOEN BLISTER O CELOFAN. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDORECUBIERTO.,Fármacos,51102002,Hidrocloruro de etam,Antituberculosos,Activo,Intermediación,0,9/7/2010,OK,,Programas Ministeriales,Tuberculosis (TBC),,si
100001823,ACIDO PARAAMINO SALICILICO DROGA X GRAMO,"ACIDO PARA-AMINO SALICILICO DROGA FARMACOPEA. ENVASADO EN SOBRE, FRASCOO SACHET DE HASTA 12 GRAMOS. LOS ENVASES  SOBRE, FRASCO O SACHET DEBENSER DE 1, 2 , 3, 4, 6 O 12 GRAMOS. ENVASE RESISTENTE CON SELLO QUEASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR GRAMO.",Fármacos,51102001,Cicloserina,Antituberculosos,Inactivo,,0,,,,,,,
100001824,PAÑAL ADULTO ULTRA ABSORBENTE ANAT DESEC,"PAÑAL ADULTO ULTRA ABSORBENTE DESECHABLE, TALLA GRANDE (TALLA G  O TALLAL), ABSORCION MINIMA DE 800 ML. DEBE TENER EL SIGUIENTE SISTEMA DECAPAS: CAPA PERMEABLE E HIPOALERGENICA PARA ELCONTACTO CON LA PIEL CONBARRERAS ANTIFUGAS A AMBOS COSTADOS DE LA ENTREPIERNA, CAPA DEPOLIACRILATO DE SODIO O SIMILAR ABSORBENTE  E HIDROFILO QUE ASEGURE LARETENCION Y DISTRIBUCION DE FLUIDOS, CAPA IMPERMEABLE QUE IMPIDA EL PASODE FLUIDOS CON INDICADOR DE HUMEDAD Y NEUTRALIZADOR DE OLORES. DEBEINCLUIR SISTEMA DE CIERRE QUE PERMITA AJUSTAR A LA CINTURA O CINTAS DESUJECCION REPLEGABLES. ROTULO DEBE SEÑALAR DESECHABLE, NUMERO DE LOTE,NOMBRE DE FABRICANTE, FECHA DE ELABORACION Y FECHA DE VENCIMIENTO(VIGENCIA DEL PRODUCTO). ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.",Insumos,42171704,Pañales de bebe o la,"Ropa, textiles y relacionados",Activo,,0,,,,,,,si
100001825,VACUNA PNEUMOCOCICA CONJUGADA JRP/FAM,"VACUNA PNEUMOCOCICA CONJUGADA, PRESENTACION LIQUIDA MONODOSIS EN JERINGAPRELLENADA O FRASCO AMPOLLA. INDICACION A PARTIR DE LOS 2 MESES DE EDAD,DEBE CONTENER A LO MENOS LOS SIGUIENTES SEROTIPOS: 1, 4, 5, 6B, 7F, 9V,14, 18C, 19F, 23F. ENVASE RESISTENTE CON SELLO QUE ASEGUREINVIOLABILIDAD DEL CONTENIDO.",Refrigerados,51201615,Vacuna antineumocóci,"Vacunas, antígenos y toxoides",Inactivo,,0,,,,,,,
100001826,LIDOCAINA 10% SOL. TOPICA FRA 50 ML,LIDOCAINA 10% (P/P O P/V) SOLUCION TOPICA SPRAY FRASCO DE 50 ML ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.,Fármacos,51142937,Clorhidrato de lidoc,Oftálmicos,Activo,Intermediación,1,16/9/2010,OK,,,,,si
100001828,LORLATINIB 25 MG CM/CM REC,LORLATINIB 25 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTERO FRASCO HASTA 60 COMPRIMIDOS. ENVASE RESISTENTE CON SELLO QUE ASEGURELA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDORECUBIERTO.,Fármacos,51111606,Hidroxiurea,Inhibidores quinasa,Activo,,0,,,,,,,
100001829,LORLATINIB 100 MG CM/CM REC,LORLATINIB 100 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTERO FRASCO HASTA 60 COMPRIMIDOS. ENVASE RESISTENTE CON SELLO QUE ASEGURELA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O COMPRIMIDORECUBIERTO.,Fármacos,51111606,Hidroxiurea,Inhibidores quinasa,Activo,,0,,,,,,,si
100001830,FOSAMPRENAVIR 50 MG/ML S. OR. FRA 225 ML,FOSAMPRENAVIR 50 MG/ML SUSPENSION ORAL FRASCO 225 ML CON SELLO QUEASEGURE INVIOLABILIDAD DEL CONTENIDO,Fármacos,51102314,Ritonavir,Antivirales,Inactivo,,0,,,,,,,
100001842,JERINGA TUBERCULINA 1ML C/AG 25 G X 5/8,JERINGA DESECHABLE PARA TUBERCULINA 1 ML CON AGUJA INTERCAMBIABLE 25 GX5/8PULGADA CON TOPE DE GOMA LIBRE DE LATEX ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.,Insumos,42142611,Jeringas tuberculina,Jeringas y accesorios,Inactivo,,0,,,,,,,
100001850,EQ. GENERADOR DE FLUJO PRESION 2 NIVELES,"EQUIPO GENERADOR DE FLUJO PARA ENTREGA DE PRESION EN DOS NIVELES CONSISTEMA DE COMPENSACION AUTOMATICA DE FLUJO, CON VOLUMEN MINUTOASEGURADO",Insumos,42272203,Máquinas no invasiva,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100001851,RIVAROXABAN 10 MG CM REC,RIVAROXABAN 10 MG COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASERESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZARPOR COMPRIMIDO RECUBIERTO.,Fármacos,51131611,Dalteparina sódica,Anticoagulantes,Activo,Intermediación,1,25/6/2016,OK,,,,Farmacias Privadas,si
100001865,CMS VERDURAS MOD. 1- ZONA 1 BOL 1 KG,CREMA MI SOPITA VERDURAS MODALIDAD 1- ZONA 1 X KILOGRAMO (KG),Alimentos,50131701,Productos de mantequ,Fórmulas especificados por Minsal,Inactivo,,0,,,,,,,
100001868,MCF PACK EXTRACC COMP EXM 3000,"MATERIAL DE CONTINUIDAD DE FUNCIONAMIENTO: PACK COMPUESTO POR KIT DEEXTRACCION DE MATERIAL GENETICO (ADN/ARN) COMPATIBLE CON EQUIPO DEEXTRACCION EXM 3000 MAS LOS ACCESORIOS SUFICIENTES PARA GENERAR TODO ELPROCESO DE EXTRACCION. COMPONENTE 1 DEL PACK: KIT PARA  EXTRACCION DEMATERIAL GENETICO (ADN/ARN), COMPATIBLE PARA LA AMPLIFICACION DE VIRUSZIKA,DENGUE Y CHIKUNGUNYA, EN ENVASE INDIVIDUAL, RESISTENTE CON SELLOQUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. DEBE TENER ENTRE 1 Y 500REACCIONES. EL KIT DEBE SER COMPATIBLE CON EQUIPO EXTRACCION: EXM 3000.COMPONENTE 2 DEL PACK: DEBE INCLUIR TODOS LOS CONSUMIBLES, PLASTICOS,ADAPTADORES, SOLUCION (ES) DE DESCONTAMINACION SUPERFICIAL Y REACTIVOSNECESARIOS PARA EL PROCESAMIENTO DE LA MUESTRA HASTA LA OBTENCION DELMATERIAL GENETICO PARA SU AMPLIFICACION; DEBEN SER PROPORCIONAL ENNUMERO PARA PRODUCIR EL TOTAL DE REACCIONES DEL KIT Y DEBEN SERCOMPATIBLE CON EQUIPO EXTRACCION ANTES MENCIONADO. LOS COMPONENTES 2 DELPACK, PUEDEN ESTAR INCLUIDOS DENTRO DEL KIT O POR SEPARADO. EL PRECIOSERA EVALUADO POR NUMERO DE EXTRACCIONES. COTIZAR POR PACK.",Insumos,41116104,Kits de ensayo quími,Kit de diagnóstico,Activo,Intermediación,0,,OK,,,,,
100001869,"FLUTI/SAL 125/25 BUD/FORM 80/4,5","FLUTICASONA/SALMETEROL 125 MCG/25 MCG DOSIS Ó BUDESONIDA/FORMOTEROL80MCG/4.5 MCG DOSIS, AEROSOL PARA INHALACIÓN LIBRE CFC FRASCO 120 a 150DOSIS. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR FRASCO.",Fármacos,51181722,Fluticasona,Antiasmáticos,Inactivo,,0,,,,Programas Ministeriales,Infec. Y Enf. Respiratorias Agudas,,
100001870,CAJA TRANSP. SUST. INFECCIOSAS GB/2815,"CAJA TRANSPORTE SUSTANCIAS INFECCIOSAS GB/2815, CAJA EXTERIOR DE 170 X170 X 210 MM. CONTENEDOR INTERIOR DE 146 X 160 MM",Insumos,76121901,Elim. residuos médic,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100001871,MCF PACK EXTRACC COMP MAELSTRON,"MATERIAL DE CONTINUIDAD DE FUNCIONAMIENTO: PACK COMPUESTO POR KIT DEEXTRACCION DE MATERIAL GENETICO (ADN/ARN) COMPATIBLE CON EQUIPO DEEXTRACCION MAELSTRON MAS LOS ACCESORIOS SUFICIENTES PARA GENERAR TODO ELPROCESO DE EXTRACCION. COMPONENTE 1 DEL PACK: KIT PARA  EXTRACCION DEMATERIAL GENETICO (ADN/ARN), COMPATIBLE PARA LA AMPLIFICACION DE VIRUSZIKA,DENGUE Y CHIKUNGUNYA, EN ENVASE INDIVIDUAL, RESISTENTE CON SELLOQUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. DEBE TENER ENTRE 1 Y 500REACCIONES. EL KIT DEBE SER COMPATIBLE CON EQUIPO DE EXTRACCION:MAELSTRON. COMPONENTE 2 DEL PACK: DEBE INCLUIR TODOS LOS CONSUMIBLES,PLASTICOS, ADAPTADORES, SOLUCION (ES) DE DESCONTAMINACION SUPERFICIAL YREACTIVOS NECESARIOS PARA EL PROCESAMIENTO DE LA MUESTRA HASTA LAOBTENCION DEL MATERIAL GENETICO PARA SU AMPLIFICACION; DEBEN SERPROPORCIONAL EN NUMERO PARA PRODUCIR EL TOTAL DE REACCIONES DEL KIT YDEBEN SER COMPATIBLE CON EQUIPO EXTRACCION ANTES MENCIONADO. LOSCOMPONENTES 2 DEL PACK, PUEDEN ESTAR INCLUIDOS DENTRO DEL KIT O PORSEPARADO. EL PRECIO SERA EVALUADO POR NUMERO DE EXTRACCIONES. COTIZARPOR PACK.",Insumos,41116104,Kits de ensayo quími,Kit de diagnóstico,Activo,Intermediación,0,,OK,,,,,
100001872,ATALURENO 1000MG GRANULO P/SUSP. ORAL SO,ATALURENO 1000 MG GRANULADO PARA SUSPENSION ORAL SOBRE. ENVASERESISTENTECON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR PORSOBRE.,Fármacos,12352208,Ácidos nucleicos,"Enf. Neurodegenerativas, antidisquinetic",Activo,,0,,,,,,,si
100001873,MCT PALIPERIDONA 150MG SUSP.INY (INVEGA),"MATERIAL DE CONTINUIDAD DE TRATAMIENTO: INVEGA SUSTENNA. PALIPERIDONA150 MG SUSPENSION INYECTABLE DE LIBERACION PROLONGADA, ENVASADO ENJERINGA PRELLENADA. ENVASE RESISTENTE CON SELLO QUE ASEGURELAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR JERINGA PRELLENADA.",Fármacos,51141704,Risperidona,"Ansiolíticos, tranquiliz., antimaníacos",Activo,,0,,,,,,,si
100001874,KIT TOMA MUES VIR RESP SIN INACTIVADOR,"KIT PARA TOMA DE MUESTRA DE HISOPADO NASOFARINGEO PARA LA DETECCION DEVIRUS RESPIRATORIOS, CADA KIT DEBE SER ENVASADO EN CAJA. CADA KIT DEBEINCLUIR: TUBO DE PLASTICO GRADUADO QUE DEBE MEDIR ENTRE 7.5 Y 15 CM DELARGO, DEBEN TENER TAPA ROSCA Y DEBEN CONTENER UN MINIMO DE 2 ML DESOLUCION BUFFER DE MEDIO DE TRANSPORTE VIRAL UNIVERSAL SIN INACTIVADOR,LO QUE DEBE PERMITIR DEBE PERMITIR MANTENER LA MUESTRA A TEMPERATURAAMBIENTE O REFRIGERADA POR UN MINIMO DE 48 HRS, LO QUE DEBE ESTARRESPALDADO EN FICHA TECNICA EMITIDA POR EL FABRICANTE. HISOPOS DE TOMADE MUESTRA NASOFARINGEA TIPO FLOCKED ESTERIL (ROTULO DEBE SEÑALARESTERIL), BOLSAS DE TRANSPORTE TIPO ZIPLOC, SACHETS CON TOALLITAS CONALCOHOL ISOPROPILICO AL 70% Y ETIQUETAS ADEHESIVAS PARA ROTULAR LOSTUBOS. CADA UNO DE LOS COMPONENTES EN ENVASE INDIVIDUAL, RESISTENTE CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. EL KIT DEBE PERMITIRENTRE 10 A 100 MUESTRAS, LO QUE DEBE ESTAR RESPALDADO EN LA FICHATECNICA DEL FABRICANTE (DEBE CONTENER LOS COMPONENTES SUFICIENTES PARAREALIZAR EL TOTAL DE MUESTRAS DECLARADAS POR EL FABRICANTE). LASETIQUETAS, TOALLITAS CON ALCOHOL Y BOLSAS DEBEN ESTAR EN CANTIDAD IGUALO SUPERIOR AL NUMERO DE TUBOS). DEBE INCLUIR UN MANUAL DE USO EN IDIOMAESPAÑOL. EL PRECIO SERA EVALUADO POR NUMERO DE MUESTRAS. COTIZAR PORKIT.",Insumos,41116104,Kits de ensayo quími,Kit de diagnóstico,Activo,,0,,,,,,,si
100001875,MCF KIT EXTR ARN ADN SMART32 DE GALENICA,"MATERIAL DE CONTINUIDAD DE FUNCIONAMIENTO: KIT DE EXTRACCION DE ACIDOSNUCLEICOS TOTALES (ADN Y ARN) PARA VIRUS RESPIRATORIOS, ENVASADO ENCAJA. EL KIT DE EXTRACCION DEBE SER COMPATIBLE CON EL EQUIPO DEEXTRACCION AUTOMATIZADA SMART32 DE GALENICA. CADA UNO DE LOS COMPONENTESDEL KIT DEBEN SER ENVASADOS DE FORMA INDIVIDUAL, RESISTENTE CON SELLOQUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. EL KIT DEBE PERMITIR ENTRE5 A 100 EXTRACCIONES (DEBE CONTENER LOS COMPONENTES SUFICIENTES PARAREALIZAR EL TOTAL DE EXTRACCIONES).EL PRECIO SERA EVALUADO POR NUMERO DEEXTRACCIONES. COTIZAR POR KIT.",Insumos,41116104,Kits de ensayo quími,Kit de diagnóstico,Activo,,0,,,,,,,si
100001876,SONDA FOLEY SILIC 14 FR 2 VIAS /BAL 5 ML,SONDA FOLEY LARGA PERMANENCIADE SILICONA 2 VIAS C/VALVULA 14 FR 5-15 CCCAPACIDAD 2 ORIFICIOS ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUEASEGURE INVIOLABILIDAD DEL CONTENIDO,Insumos,42142702,Catéteres urinarios,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100001880,CIPROFLOXACINO 250 MG CM REC.,CIPROFLOXACINO 250 MG CAPSULA O COMPRIMIDO RECUBIERTO ENVASADO EN,NULL,NULL,NULL,NULL,Activo,,0,,,,,,,
100001881,SUST PROT S/AA NO ESEN-80G PROT/100G X G,"SUSTITUTO PROTEICO LIBRE DE AMINOACIDOS NO ESENCIALES (CITR-1),  CON 80G - 30 GRAMOS  DE PROTEINA/100GRAMOS DE PRODUCTO, ENVASADO  HASTA 1000 GCON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. UNIDAD GRAMO.",Alimentos,50131701,Productos de mantequ,Fórmulas especificados por Minsal,Inactivo,,0,,,,,,,
100001882,SUST PROT S/AA NO ESEN-15G PROT/100G X G,"SUSTITUTO PROTEICO LIBRE DE AMINOACIDOS NO ESENCIALES (CITR-1),  CON 15G - 13 GRAMOS  DE PROTEINA/100GRAMOS DE PRODUCTO, ENVASADO  HASTA 1000 GCON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. UNIDAD GRAMO.",Alimentos,50131701,Productos de mantequ,Fórmulas especificados por Minsal,Inactivo,,0,,,,,,,
100001883,SUST PROT S/AA NO ESEN-30G PROT/100G X G,"SUSTITUTO PROTEICO LIBRE DE AMINOACIDOS NO ESENCIALES (CITR-1),  CON 30G - 25 GRAMOS  DE PROTEINA/100GRAMOS DE PRODUCTO, ENVASADO  HASTA 1000 GCON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. UNIDAD GRAMO.",Alimentos,50131701,Productos de mantequ,Fórmulas especificados por Minsal,Inactivo,,0,,,,,,,
100001884,SUST PROT S/AA NO ESEN-10G PROT/100G X G,"SUSTITUTO PROTEICO LIBRE DE AMINOACIDOS NO ESENCIALES (CITR-1),  CON 10G - 5 GRAMOS  DE PROTEINA/100GRAMOS DE PRODUCTO, ENVASADO HASTA 1000 GCON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. UNIDAD GRAMO.",Alimentos,50131701,Productos de mantequ,Fórmulas especificados por Minsal,Inactivo,,0,,,,,,,
100001885,SUST PROTEIC S/LEUCINA -15G PROT/100G XG,"SUSTITUTO PROTEICO LIBRE DE LEUCINA (AIV),  CON 15 G - 13 GRAMOS  DEPROTEINA/100GRAMOS DE PRODUCTO, ENVASADO  HASTA 1000 G CON SELLO QUEASEGURE INVIOLABILIDAD DEL CONTENIDO. UNIDAD GRAMO.",Alimentos,50131701,Productos de mantequ,Fórmulas especificados por Minsal,Inactivo,,0,,,,,,,
100001886,SUST PROTEIC S/LEUCINA -30G PROT/100G XG,"SUSTITUTO PROTEICO LIBRE DE LEUCINA (AIV),  CON 30 G - 25 GRAMOS  DEPROTEINA/100GRAMOS DE PRODUCTO, ENVASADO  HASTA 1000 G CON SELLO QUEASEGURE INVIOLABILIDAD DEL CONTENIDO. UNIDAD GRAMO.",Alimentos,50131701,Productos de mantequ,Fórmulas especificados por Minsal,Inactivo,,0,,,,,,,
100001887,SUST PROTEIC S/LEUCINA -40G PROT/100G XG,"SUSTITUTO PROTEICO LIBRE DE LEUCINA (AIV),  CON 40 G - 35 GRAMOS  DEPROTEINA/100GRAMOS DE PRODUCTO, ENVASADO  HASTA 1000 G CON SELLO QUEASEGURE INVIOLABILIDAD DEL CONTENIDO. UNIDAD GRAMO.",Alimentos,50131701,Productos de mantequ,Fórmulas especificados por Minsal,Inactivo,,0,,,,,,,
100001888,SUST PROTEICO S/MTVI -15G PROT/100 G X G,"SUSTITUTO PROTEICO LIBRE DE METIONINA, TREONINA, VALINA E ISOLEUCINA(AP/AMM),  CON 15 G - 13 GRAMOS  DE PROTEINA/100GRAMOS DE PRODUCTO,ENVASADO HASTA 1000 G CON SELLO QUE ASEGURE INVIOLABILIDAD DELCONTENIDO. UNIDAD GRAMO.",Alimentos,50131701,Productos de mantequ,Fórmulas especificados por Minsal,Inactivo,,0,,,,,,,
