Producto;Codigo;Stock;Costo;Precio;Categoria;Estado
DULOXETINA 60MG X30 CAPS LAB ALEMBIC;7804681740285;1;0;11000;Antidepresivos;DISPONIBLE
DUO FIJADOR FUERTE FIJ 165ML LABOCOCH;7804947601220;1;0;2000;Dispositivos y accesorios médicos;DISPONIBLE
DUO FIJADOR NORMAL 330ML;7804947611168;3;0;3500;Dispositivos y accesorios médicos;DISPONIBLE
DUO FIJADOR NORMAL X165;7804947601213;5;0;2000;Dispositivos y accesorios médicos;DISPONIBLE
DUO LACA EXTRA FUERTE X330;7804947601206;13;0;3000;SIN CLASIFICAR;DISPONIBLE
DUOMO DOXAZOSINA BIOEQUIVALENTE;7891317011918;5;0;9000;Antihipertensivos;DISPONIBLE
DUREX CLASICO PRESERVATIVOS 3 UND. RECKITT BENCKISER;7501159731133;2;0;2000;SIN CLASIFICAR;DISPONIBLE
DUREX INTENSE DIABLILLO ESTIMULADOR VIBRANTE X1UND;5038483998496;1;0;6000;SIN CLASIFICAR;DISPONIBLE
DUREX INVISIBLE X3;5052197008555;2;0;2500;SIN CLASIFICAR;DISPONIBLE
DUREX REAL FEEL S/LATEX X3UND;7702626214856;2;0;2000;SIN CLASIFICAR;DISPONIBLE
DUREX SENSITIVO DELGADO. 3 UNIDADES;7501159731232;1;0;2000;SIN CLASIFICAR;DISPONIBLE
DUTAMSUVITAE DUTASTERIDA + TAMSULOSINA CLORHIDRATO 0.5MG +0.4 MG X30CAPS LAB.GALENICUM;8437020503129;49;0;11000;Andrógenos e inhibidores androgénicos;DISPONIBLE
DVIDA MAX 100.000 U.I.;7800018001296;2;0;21000;SIN CLASIFICAR;DISPONIBLE
ECHINACEA+VIT C 20COMP KNOP;7803504002791;8;0;4500;SIN CLASIFICAR;DISPONIBLE
ECO TRAPER SHAMPOO 250ML AVENA;7805505009335;3;0;4000;SIN CLASIFICAR;DISPONIBLE
ECO-DOG REPELENTE DE PULGAS COLLAR X1UNIDAD LAB. DRAG PHARMA;7800006004445;3;0;4000;SIN CLASIFICAR;DISPONIBLE
EFICACINA CLINDAMICINA 1G X30G LAB. HELEVCIA PHARMA;7800097003846;1;0;15000;Antibióticos;DISPONIBLE
ELASTOMULL4CMX4M;4042809022438;56;0;500;SIN CLASIFICAR;DISPONIBLE
ELCALD FORTE CALCIO +VITAMINA D 450MG + 175UI X30 CAPS. LAB. ANDROMACO;7800018000688;5;0;11500;Sales de calcio y reguladores del calcio;DISPONIBLE
ELECTROLIT BLUE RASPBERRY SABOR FRAMBUESA X625ML;7502268549794;29;0;2000;SIN CLASIFICAR;DISPONIBLE
ELECTROLIT FRUTILLA KIWI X 625 ML;7502268541675;20;0;2000;SIN CLASIFICAR;DISPONIBLE
ELECTROLIT FRUTILLA X 625 ML;7502268541644;44;0;2000;SIN CLASIFICAR;DISPONIBLE
ELECTROLIT HIDRATACION PREMIUM SABOR MARACUYA X625ML;7502268549305;20;0;2000;SIN CLASIFICAR;DISPONIBLE
ELECTROLIT HIDRATACION PREMIUM SABOR NARANJA X625ML;7502268541668;26;0;2000;SIN CLASIFICAR;DISPONIBLE
ELECTROLIT UVA X 625 ML;7502268541651;30;0;2000;SIN CLASIFICAR;DISPONIBLE
ELMEX ANTICARIES PROFESSIONAL  DENTAL 110GR;8718951658240;14;0;5000;SIN CLASIFICAR;DISPONIBLE
ELMEX CREMA DENT SENSITIVE WHITENING 110G;8718951456440;3;0;4000;Fórmulas especificados por Minsal;DISPONIBLE
ELMEX SENSITIVE PROFESSIONAL 11OGR;8718951213524;26;0;5000;SIN CLASIFICAR;DISPONIBLE
ELONTRIL XL X30 COMP;7800030078207;1;0;46000;SIN CLASIFICAR;DISPONIBLE
ELVENIR 37.5MG FENTERMINA CLORHIDRATO X30COMP ABBOTT B;7800026254790;11;0;27000;Estimulantes/anoréxicos;DISPONIBLE
ELVIVE ACONDICIONADOR HIDRA HIALURONICO X370 ML LOREAL;7509552845914;5;0;3800;SIN CLASIFICAR;DISPONIBLE
ELVIVE COLOR VIVE LOREAL PARIS ACONDICIONADOR X370;7509552848076;16;0;3800;SIN CLASIFICAR;DISPONIBLE
ELVIVE COLOR VIVE SHAMPOO 380ML;7509552847499;13;0;3800;SIN CLASIFICAR;DISPONIBLE
ELVIVE SERUM STOP FRIZZ DREAM LONG 100ML;3600523817481;6;0;8000;SIN CLASIFICAR;DISPONIBLE
ELVIVE SHAMPOO HIDRA RELLENADOR 370ML;7509552845884;1;0;4000;SIN CLASIFICAR;DISPONIBLE
EMINENCE BLACK 50ML;7804902042037;4;0;10000;SIN CLASIFICAR;DISPONIBLE
EMINENCE BLUE;7804902042020BLUE;4;0;10000;SIN CLASIFICAR;DISPONIBLE
EMUBABY TOALLAS HUMEDAS CACE DE EMU X 50;7804603540900;20;0;1500;SIN CLASIFICAR;DISPONIBLE
EMUBABY TOALLITAS 80 UNDS.;7804603541419;5;0;3500;SIN CLASIFICAR;DISPONIBLE
EMULSIONADO NEUTRO HIPOALERGENICO BABYLAND X270ML;7804945007307;4;0;2000;SIN CLASIFICAR;DISPONIBLE
ENALAPRIL MALEATO 10 MG. 20 COMP. LAB .OPKO;7804620833047;166;0;500;Antihipertensivos;DISPONIBLE
ENALAPRIL MALEATO 20 MG. 20 COMP. LAB. OPKO;7804620832767;284;0;600;Antihipertensivos;DISPONIBLE
ENCLYNA 10MG LAB. BAGO;4048846024541;2;0;27000;SIN CLASIFICAR;DISPONIBLE
ENDULSANTE ESTEVIA DAILY 270ML;7809558101725;5;0;6000;SIN CLASIFICAR;DISPONIBLE
ENDULZANTE LIQUIDO 270ML SUCRALOSA;7809558100599;14;0;3000;SIN CLASIFICAR;DISPONIBLE
ENHORA SILDENAFILO 100MG X20COMP LAB OPKO;7804620835683;12;0;5000;SIN CLASIFICAR;DISPONIBLE
ENHORA SILDENAFILO 50MG X10 COMP LAB OPKO;7804620832866;17;0;3000;SIN CLASIFICAR;DISPONIBLE
ENHORA SILDENAFILO 50MG X20COMP LAB. OPKO;7804620835690;7;0;4000;SIN CLASIFICAR;DISPONIBLE
ENO LIMON SAL DE FRUTA FRASC GSK 100G;78011922;2;0;3500;SIN CLASIFICAR;DISPONIBLE
ENO SAL DE FRUTA XUND;78032484;276;0;125;SIN CLASIFICAR;DISPONIBLE
ENTRESTO 100MG 56 COMP;7800032004136;1;0;140000;SIN CLASIFICAR;DISPONIBLE
ENTRESTO SACUBITRILO VALSARTAN ACIDO LIBRE ANHIDRO 200MG;7800032004143;1;0;150000;Antihipertensivos;DISPONIBLE
EPIDERMIS DE SEMILLA DE PSYLLIUM 18 SOBRES DE 5G;7800004284450;3;0;6800;SIN CLASIFICAR;DISPONIBLE
EPIDUO FORTE GEL TOPICO 0.3/2.5 30G;3499320007528;3;0;48000;SIN CLASIFICAR;DISPONIBLE
EPIGENETIC SERUM 30ML EUCERIN;4006000077000;2;0;58000;SIN CLASIFICAR;DISPONIBLE
ESANTEST PLUS TEST DE EMBARAZO X1UND;7804659070048;41;0;1500;Dispositivos y accesorios médicos;DISPONIBLE
ESC ESCITALOPRAM 20MG X30 COMP. LAB EUROFARMA;7800046005136;1;0;6500;Antidepresivos;DISPONIBLE
ESCAPEL 1 LEVONORGESTREL 15 MG.;7804628610008;20;0;9000;Estrógenos, progestágenos y anticoncep.;DISPONIBLE
ESCITALOPRAM 10 MG. 30 COMP. LAB. SEVENPHARMA;8903726214817;167;0;2000;Antidepresivos;DISPONIBLE
ESCITALOPRAM 20 MG. 30 COMP. LAB. SEVEN PHARMA;8903726193389;11;0;4500;Antidepresivos;DISPONIBLE
ESOMEPRAZOL 20 MG. 30 CAPS. LAB. SEVEN PHARMA;8903726285541;80;0;3000;Antiulcerosos y relacionados;DISPONIBLE
ESOMEPRAZOL 40 MG. 30 CAPS. LAB.HETERO;8903726287682;148;0;3500;Antiulcerosos y relacionados;DISPONIBLE
ESOMEPRAZOL 40 MG. 30 COMP. LAB. OPKO;7804620834082;153;0;3500;Antiulcerosos y relacionados;DISPONIBLE
ESOMEPRAZOL 40MG 30CAPS LAB. BIOEQUIVALENTE;8904317830683;120;0;3500;Antiulcerosos y relacionados;DISPONIBLE
ESOMEPRAZOL CAPSULAS 40 MG X 30;7804620836307;20;0;3000;Antiulcerosos y relacionados;DISPONIBLE
ESPERCIL ACIDO TRANEXAMICO 500MG X20COMP LAB. GRUMENTHAL;7800055000450;2;0;75000;Vitaminas, minerales y oligoelementos;DISPONIBLE
ESPIRONOLACTONA 25 MG. 20 COMP. LAB. ANDROMACO;7800018000329;6;0;1000;Diuréticos;DISPONIBLE
ESPIRONOLACTONA 25MG X20COMP. LAB. LCH;7800007126610;79;0;1000;Diuréticos;DISPONIBLE
ESPUMA TOPICA XINDER CLOBETASOL PROPIONATO 60G AL 0.05;7795373000407;3;0;22000;Dermatológicos, fanereos;DISPONIBLE
ESPUNA MOUSSE RIZOS DEFINIDOS PANTENE X227G;7506195144947;6;0;4000;SIN CLASIFICAR;DISPONIBLE
ETIQUET MEN ROLLON 60G;7794640630491;6;0;2800;SIN CLASIFICAR;DISPONIBLE
ETIQUET WOM DESODORANTE CREMA X30GRS;7804900632506;23;0;3500;Fórmulas especificados por Minsal;DISPONIBLE
ETIQUET WOMEN CLASICO ROLL-ON 60G;7804900610955;3;0;2800;SIN CLASIFICAR;DISPONIBLE
EUCERIN AQUAPHOR REPAIR OINT EUC 49G;4005800223136;42;0;10000;SIN CLASIFICAR;DISPONIBLE
EUCERIN ATOP CREM FAC.50ML;75923722809710;5;0;1500;SIN CLASIFICAR;DISPONIBLE
EUCERIN DEODORANT 24 HRAS.;4005800027697;7;0;15000;SIN CLASIFICAR;DISPONIBLE
EUCERIN DERM.FLU.HD.MA 50ML 52G;4005900436962;4;0;22000;SIN CLASIFICAR;DISPONIBLE
EUCERIN GEL CR OIL CONTROL  TOQUE SECO F50 50ML;4005900264282;19;0;25000;Dispositivos y accesorios médicos;DISPONIBLE
EUCERIN OIL C TIN F50 50ML;4005900140906;7;0;17000;SIN CLASIFICAR;DISPONIBLE
EUCERIN OIL GEL 150+PSOL 50;4005800372452;2;0;35000;SIN CLASIFICAR;DISPONIBLE
EUCERIN PHOT CON F50 MD 50;75917615129248;3;0;22000;SIN CLASIFICAR;DISPONIBLE
EUCERIN PIGM CONTROL F50 50ML TEXTURA LIGERA;4005800241901;1;0;19000;Dispositivos y accesorios médicos;DISPONIBLE
EUCERIN SUN FL PROT F50 50ML;4005900265227;11;0;22000;SIN CLASIFICAR;DISPONIBLE
EUROGESIC INFANTIL NAPROXENO SODICO 125MG5ML X60ML SAVAL;7800060404113;2;0;7500;Analgésico Antipirético Antiinflamatorio;DISPONIBLE
EUTIROX LEVOTIROXINA 100MCG X100COMP LAB. MERCK;7501298222639;133;0;11000;Hormonas tiroideas y antitiroideas;DISPONIBLE
EUTIROX LEVOTIROXINA 25MCG X50COMP LAB.MERCK;7501298222592;54;0;9000;Hormonas tiroideas y antitiroideas;DISPONIBLE
EUTIROX LEVOTIROXINA 50MCG X50COMP LAB. MERCK;7501298222608;57;0;10000;Hormonas tiroideas y antitiroideas;DISPONIBLE
EUTIROX LEVOTIROXINA 75MCG X50COMP LAB.MERCK;7501298222615;109;0;10000;Hormonas tiroideas y antitiroideas;DISPONIBLE
EUTIROX LEVOTIROXINA SODICA 112MCG X50COMP LAB. MERCK;7501298222707;6;0;14000;Hormonas tiroideas y antitiroideas;DISPONIBLE
EUTIROX LEVOTIROXINA SODICA 125MCG X50 COMP LAB. MERCK;7501298222653;9;0;14000;Hormonas tiroideas y antitiroideas;DISPONIBLE
EUTIROX LEVOTIROXINA SODICA 137MCG 50COMP LAB. MERCK;7501298222721;6;0;15000;Hormonas tiroideas y antitiroideas;DISPONIBLE
EUTIROX LEVOTIROXINA SODICA 150MCG X50COMP LAB. MERCK;7501298222660;2;0;16000;Hormonas tiroideas y antitiroideas;DISPONIBLE
EUTIROX LEVOTIROXINA SODICA 175 MCG X50COMP LAB. MERCK;7501298222677;3;0;16000;Hormonas tiroideas y antitiroideas;DISPONIBLE
EUTIROX LEVOTIROXINA SODICA 200MCG X50 COMP LAB MERK;7501298222684;4;0;19000;Hormonas tiroideas y antitiroideas;DISPONIBLE
EUTIROX LEVOTIROXINA SODICA 88MCG X50COMP LAB. MERCK;7501298222691;16;0;11000;Hormonas tiroideas y antitiroideas;DISPONIBLE
EVITTA-1 COMP GEOD RICH 15MG;5997001360484;59;0;5000;SIN CLASIFICAR;DISPONIBLE
EXFOLIANTE ISDIN GLICOISDIN 10 X50G;8429420175303;2;0;29000;SIN CLASIFICAR;DISPONIBLE
EXTOSEN JARABE X100ML SANITAS B;7800038042828;47;0;5000;SIN CLASIFICAR;DISPONIBLE
EXTRACTO DE GINKO BILOBA NOKATAR 40MG;7804918402368;20;0;2500;SIN CLASIFICAR;DISPONIBLE
EZOPICLONA 3 MG 30 COMP. HETERO;8903726195628;7;0;4000;SIN CLASIFICAR;DISPONIBLE
EZTIM EZETIMIBA 10MG 28 COMP;8903726249017;5;0;17000;Antihiperlipidémicos/ hipocolesterolém.;DISPONIBLE
F.L.T. SHAMPOO MEDICADO PERROS Y GATOS AZUFRE 2+PEROXIDO DE BENZOILO 2.5 X150ML DRAG PHARMA;7800006000546;4;0;9500;Dermatológicos, fanereos;DISPONIBLE
FACIMIN OXIMETAZOLINA CLORHIDRATO 50MG 10ML LAB. MILAB;7800063330341;22;0;5000;Antigripales, descongestionantes nasales;DISPONIBLE
FAM SET ALGODON HIDROFILO EN ZIG ZAG X100GRS SOCOFAR;7805633013440;27;0;1500;Algodón y relacionados;DISPONIBLE
FAM SET ALGODON HIDROFILO NAPA PR 100GR;7805633013426;4;0;1500;Algodón y relacionados;DISPONIBLE
FAM SET PACK 10 PANUELOS DESECHABLES SUAVES. OFERTA 10X18UND.;7805633012818;22;0;2500;Equipamiento de uso médico;DISPONIBLE
FAM SET TAPONES DE OIDOS;7805633014478;1;0;2000;SIN CLASIFICAR;DISPONIBLE
FAMILY SET ALMENDRAS 3X90GRS;7805633020288;5;0;1000;SIN CLASIFICAR;DISPONIBLE
FAMILY SET APOSITOS TRANSPARENTES 6X7CM X3UND. FAMILY SET;7805633008132;15;0;1000;SIN CLASIFICAR;DISPONIBLE
FAMILY SET BOTIQUIN 25 ARTICULOS;7805633013372;10;0;3500;SIN CLASIFICAR;DISPONIBLE
FAMILY SET CLASICO TALLA M X 8;7805633021261;10;0;4500;SIN CLASIFICAR;DISPONIBLE
FAMILY SET PARCHE CURITA NEON X30UNIDADES SOCOFAR;7805633012740;3;0;1000;Dispositivos y accesorios médicos;DISPONIBLE
FAMILY SET PARCHES CLASICOS SURTIDOS X30UND SOCOFAR;7805633002086;41;0;1000;SIN CLASIFICAR;DISPONIBLE
FAMILY SET PARCHES CLASICOS X20UND LAB. SOCOFAR;7805633002000;7;0;1000;SIN CLASIFICAR;DISPONIBLE
FAMILY SET PARCHES CURITA DISENO NIÑAS X30UNIDADES SOCOFAR;7805633012849;14;0;1000;SIN CLASIFICAR;DISPONIBLE
FAMILY SET PARCHES CURITA DISENO NIÑOS X30UNIDADES SOCOFAR.;7805633012733;10;0;1000;SIN CLASIFICAR;DISPONIBLE
FAMILY SET SUTURAS ADHESIVAS 10X32CM X9UND. SOCOFAR;7805633008118;18;0;2500;SIN CLASIFICAR;DISPONIBLE
FAMILY SET VENTA GASA ELASTICA DE FIJACION 10CM X 4 MTS;7805633020493;29;0;1000;Dispositivos y accesorios médicos;DISPONIBLE
FAMILYSET PARCHE OCULAR 5,8X8,3CM;7805633024200;6;0;2000;Dispositivos y accesorios médicos;DISPONIBLE
FAMOTIDINA 20MG X20 COMP. LAB SEVEN PHARMA;8904317825436;56;0;1000;Antiulcerosos y relacionados;DISPONIBLE
FAMOTIDINA 20MG. X20COMP. LAB LCH;7800007119322;147;0;1000;Antiulcerosos y relacionados;DISPONIBLE
FAMSET CEPILLO DENTAL SUAVE PACK X2;7805633018650;6;0;1000;Dispositivos y accesorios médicos;DISPONIBLE
FAMSET ROPA INTERIOR DESECHABLE PANTS GXG X16UND;7805633026907;2;0;8000;SIN CLASIFICAR;DISPONIBLE
FAMSET TAPONES DE OIDO DESECHABLES X 4 PARES SOCOFAR;7805633008125;12;0;1500;SIN CLASIFICAR;DISPONIBLE
FAMYLI SET GASA NO ADHERENTE ESTERILIZADA 10UND SOCOFAR;7805633003700;91;0;1500;Dispositivos y accesorios médicos;DISPONIBLE
FAMYLI SET KARITE Y VERBENA 3X90GRS;7805633020295;5;0;1500;SIN CLASIFICAR;DISPONIBLE
FARMACTIVE HIDROGEL 15GR X1UND;UXUVJ6;11;0;5500;Dispositivos y accesorios médicos;DISPONIBLE
FASARAX HIDROXIZIA 20MG X20COMP LAB. PRATER;7804918400340;25;0;2500;SIN CLASIFICAR;DISPONIBLE
FASARAX JARABE HIDROXIZINA 10 MG5 ML. 120ML PRATER B;7804918400357;15;0;2500;Antihistamínicos;DISPONIBLE
FE-RROVIT SUPLEMENTO ALIMENTICIO X200ML LAB. ALQUIMIA VERDE;1469852312225;18;0;4500;Vitaminas, minerales y oligoelementos;DISPONIBLE
FEMELLE DROSPIRENONA 3MGETINILESTRADIOL 0.03 MG. 28 COMP. ABBOUTT;7800026050019;5;0;20000;Estrógenos, progestágenos y anticoncep.;DISPONIBLE
FEMELLE FOL 3MG 28COM;7800026111130;2;0;18000;SIN CLASIFICAR;DISPONIBLE
FEMELLE20 3MG/2OMCG ABBOTT;7800026005989;6;0;20000;SIN CLASIFICAR;DISPONIBLE
FENOKOMP 39 MEDICAMENTO HOMEOPATICO 90 COMP. LAB. KNOP;7803504002395;76;0;2500;SIN CLASIFICAR;DISPONIBLE
FERBEX FENOFIBRATO 200MG X30CAP LAB. CHILE;7800007805317;9;0;26000;Antihiperlipidémicos/ hipocolesterolém.;DISPONIBLE
FESEMA SABUTAMOL 100MCG 200DOSIS LAB. CFT;7800030005449;9;0;15000;SIN CLASIFICAR;DISPONIBLE
FEXOFENADINA CLORHIDRATO FEXOFENADINA CLORHIDRATO 30 MG X100ML LAB. CAPLIN POINT;7804640561951;2;0;4000;Antihistamínicos;DISPONIBLE
FIBRASOL EPIDERMIS DE SEMILLA DE PSYLLIUM 200 GRS LAB. MAVER;7800004000500;1;0;9000;SIN CLASIFICAR;DISPONIBLE
FIBRINOPET CONCENTRADO DE PAPAYA 300MG X10COMP LAB. IMPORTVET;761887187359;6;0;6500;Dispositivos y accesorios médicos;DISPONIBLE
FIBROTINA LIDOSE FENOFIBRATO + RAVASTATINA 160MG + 40MG X30COMP LAB. SAVAL;7800060144866;2;0;29000;Antihiperlipidémicos/ hipocolesterolém.;DISPONIBLE
FIJADOR FUERTE PARA EL CABELLO DUO X330ML;7804947601183;5;0;3000;Dispositivos y accesorios médicos;DISPONIBLE
FIN ARTRIT GLUCOSAMINA+CONDROITINA X30SOBRES SABOR NARANJA GARDEN HOUSE;7803510000750;2;0;19000;SIN CLASIFICAR;DISPONIBLE
FINAGRIP IBUPROFENO + PSEUDOEFEDRINA CLORHIDRATO + CLORFENAMINA 200MG + 30MG + 2MG X100ML IPHSA;7804614931247;47;0;3000;Analgésico Antipirético Antiinflamatorio;DISPONIBLE
FINAPET FENTERMINA CLORHIDRATO 37.5MG X30CAPS ANDROMACO B;7800018187006;9;0;17000;Estimulantes/anoréxicos;DISPONIBLE
FINDALER CETIRIZINA DICLORHIDRATO 5MG X100ML LAB. EUROFARMA;7800046004658;21;0;5500;Antihistamínicos;DISPONIBLE
FIPRODRAG GATOS FIPRONIL 10 1 POMO DE 0.5ML ANTIPARASITARIO EXTERNO DRAG PHARMA;7800006011191;1;0;5000;SIN CLASIFICAR;DISPONIBLE
FIPROKILL CONTRA PULGAS Y GARRAPATAS PERROS Y GATOS SOLUCION SPRAY FIPRONIL 0.25 X100ML DRAG PHARMA;7800006005794;2;0;15470;Otras sales;DISPONIBLE
FISIOLIMP PED.0.9 SOL.NAS.X30ML - PASTEUR;7800068014703;21;0;4000;SIN CLASIFICAR;DISPONIBLE
FIT SABANITAS 60-60CM X 10 UN;7800006010118;3;0;2500;SIN CLASIFICAR;DISPONIBLE
FITOTRIT 90 CAPSULAS;5854020624945;2;0;7500;SIN CLASIFICAR;DISPONIBLE
FITTIG COBRE SPRAY DESODORANTE 100G;7800018175966;1;0;5500;SIN CLASIFICAR;DISPONIBLE
FLAMIR GEL ADAPALENO X30G;7800028002627;3;0;25000;Dermatológicos, fanereos;DISPONIBLE
FLAPEX 4%SOLUCION ORAL GOTAS 15ML/ SIMETICONA;76046198610379;10;0;7500;Medicamentos y Productos Farmacéuticos;DISPONIBLE
FLAPEX E SIMETICONA 60MG X20 CAPS LAB. ANDROMACO;7800018000558;30;0;7000;Medicamentos y Productos Farmacéuticos;DISPONIBLE
FLAPEX SIMETICONA 4G 15ML LAB. ANDROMACO;7861073971177;1;0;7500;Medicamentos y Productos Farmacéuticos;DISPONIBLE
FLEXIBLE BIBERON VIDRIO 120ML4OZ PIGEON;4902508002820;3;0;9500;Dispositivos y accesorios médicos;DISPONIBLE
FLEXIBLE BIBERON VIDRIO 50ML2OZ PIGEON;4902508033084;4;0;9000;Dispositivos y accesorios médicos;DISPONIBLE
FLEXIBLE BOTELLA VIDRIO 240ML8OZ PIGEON;4902508002806;2;0;10000;Dispositivos y accesorios médicos;DISPONIBLE
FLEXIVE CREMA;4054839561801;4;0;15000;Fórmulas especificados por Minsal;DISPONIBLE
FLIXOTIDE  FÑUTICASONA POPIONATO  125MCG  120DOSIS  LAB. GSK;7800029002602;3;0;48000;SIN CLASIFICAR;DISPONIBLE
FLORA FIX PET;7898921847063;56;0;10000;SIN CLASIFICAR;DISPONIBLE
FLOVOVERMIC ANTIPARASITARIO INTERNO X60COMP 10KG DRAG PHARMA XXU20;7800006002779;2;0;72000;SIN CLASIFICAR;DISPONIBLE
FLUCLOXACILINA SAL SODICA 500MG X12CAPS LAB.CURAESPRING;7804673040287;83;0;2500;Antibióticos;DISPONIBLE
FLUCONAZOL 150 MG. 4 CAPS. LAB CHILE;7800007804853;25;0;2000;Fungicidas o antimicóticos;DISPONIBLE
FLUCONAZOL 150MG;7804620835065;67;0;2000;Fungicidas o antimicóticos;DISPONIBLE
FLUCONAZOL 150MG X2CAPS LAB. OPKO;7804620835058;330;0;1000;Fungicidas o antimicóticos;DISPONIBLE
FLUNARIZINA 10 MG. 30 COMP. PASTEUR B;7800068031120;24;0;6000;Antivertiginosos;DISPONIBLE
FLUNARIZINA DICLORHIDRATO 5 MG. 30 COMP. LAB.PASTEUR;7800068031137;94;0;3500;Antivertiginosos;DISPONIBLE
FLUOXETINA;7800007367655;9;0;1000;Antidepresivos;DISPONIBLE
FLUOXETINA 20MG X20COMP MINTLAB B;7800063001760;305;0;1000;Antidepresivos;DISPONIBLE
FLURELLE CRANBERRY+VITAMINA C X60 CAPS ANC;7805357004120;2;0;8500;SIN CLASIFICAR;DISPONIBLE
FOILLE UNG TOP BLIS 28G;7800008020030;43;0;3000;SIN CLASIFICAR;DISPONIBLE
FOLISANIN ACIDO FOLICO 1MG. X30COMP LAB. SANITAS;7800038043207;24;0;3500;Vitaminas, minerales y oligoelementos;DISPONIBLE
FOLISANIN ACIDO FOLICO 5MG. X30COMP. SANITAS B;7800038048165;4;0;5000;Vitaminas, minerales y oligoelementos;DISPONIBLE
FORFLOW SOLUCION PARA ENEMA X133ML FAES FARMA;7804629440338;273;0;4000;Otras sales;DISPONIBLE
FORLIP 10 ROSUVASTATINA 10MG X30COMP. LAB. ASCEND;7804650882947;255;0;4000;Antihiperlipidémicos/ hipocolesterolém.;DISPONIBLE
FORLIP 20 ROSUVASTATINA 20MG X30COMP. ASCEND B;7804650882954;21;0;5000;Antihiperlipidémicos/ hipocolesterolém.;DISPONIBLE
FORTOTAL ACTIVE+ MULTIVITAMINICO+MINERALES X30CAP SIRIO PHARMA;7800063325422;22;0;3500;SIN CLASIFICAR;DISPONIBLE
FORXIGA DAPAGLIFOZINA 10MG X28COMP LAB.ASTRAZENECA;8027950170173;5;0;40000;SIN CLASIFICAR;DISPONIBLE
FOSFOSODA SABOR LIMON JENGIBRE X45ML RECORDATI;301320105049;47;0;2500;Laxantes;DISPONIBLE
FOTOPROTECTOR PEDIATRICO. FUSION FLUID MINERAL BABY. SPF 50. 50 ML.;8429420187962;9;0;16000;SIN CLASIFICAR;DISPONIBLE
FREEGEN 0.5% SOLUCION OFTALMICA;7707239270022;4;0;22000;Otras sales;DISPONIBLE
FRENALER-D LORATADINA + PSEUDOEFEDRINA CLORHIDRATO 2.5 MG + 15MG X100ML LAB. DE CHILE;7800007403636;3;0;17000;Antihistamínicos;DISPONIBLE
FRESHMEL CLORHEXIDINA DICLORHIDRATO MIEL Y LIMON 5MG 12;7800007810465;38;0;2500;Antibióticos;DISPONIBLE
FRONTLINE FIPRONIL 0.25 SPRAY PERROS Y GATOS X100ML BOEHRINGER I;7809599502352;8;0;9500;SIN CLASIFICAR;DISPONIBLE
FRONTLINE FIPRONIL 0.25 SPRAY PERROS Y GATOS X250ML.;7809599502345;13;0;15000;SIN CLASIFICAR;DISPONIBLE
FRONTLINE PIPETA ANTIPULGAS PERROS 10 KILOS 1 UND LAB. BOEHRINGER;7730997410591;12;0;7000;Dispositivos y accesorios médicos;DISPONIBLE
FRONTLINE PLUS PERROS ENTRE 20 Y 40 KILOS X1UND PIPETA BOEHRINGER;7730997410577;10;0;10000;Dispositivos y accesorios médicos;DISPONIBLE
FRONTLINE PLUS PERROS ENTRE 40 Y 60 KILOS;7730997410560;18;0;13000;SIN CLASIFICAR;DISPONIBLE
FRONTLINE PLUS PIPETA PERRO 10-20 KG;7730997410584;21;0;8000;Dispositivos y accesorios médicos;DISPONIBLE
FRUCTIS.GE.FIJ.HARD 600G;7506078955028;2;0;5000;SIN CLASIFICAR;DISPONIBLE
FUROSEMIDA 40MG X12COMP LCH B;7800007120250;230;0;500;Diuréticos;DISPONIBLE
GABATA GABAPENTINA 300MG X30CAPS LAB. ASCEND;7804650884408;7;0;14000;Anticonvulsivantes, antiepilépticos;DISPONIBLE
GALVUS MET 501000MG VILDAGLIPTINAMETFORMINA CLORHIDRATO 28COMP. NOVARTIS;7800032003313;3;0;35000;SIN CLASIFICAR;DISPONIBLE
GALVUS MET 50850MG VILDAGLIPTINAMETFORMINA CLORHIDRATO 28COMP NOVARTIS;7800032003290;3;0;38000;SIN CLASIFICAR;DISPONIBLE
GALVUS MET50/500MG LAB. NOVARTIS;7800032003467;1;0;65000;SIN CLASIFICAR;DISPONIBLE
GALVUS VILDAGLIPTINA 50MG X28COMP LAB.NOVARTIS;7612797155721;11;0;33000;Antidiabéticos e hiperglicémicos;DISPONIBLE
GAMALATE COMPLEJO VITAMINICO B X30COMP. LAB. ANDROMACO;7800018000640;11;0;20000;Vitaminas, minerales y oligoelementos;DISPONIBLE
GANDHA PLUS CON MAGNESIO SUPLEMENTO ALIMENTICIO X120CAPS LAB. AURA VITALIS;7803319004171;9;0;12000;Vitaminas, minerales y oligoelementos;DISPONIBLE
GARNIER SKINACTIVE VITAMINA C 50ML;7899706194273;4;0;7500;Vitaminas, minerales y oligoelementos;DISPONIBLE
GASA FIXOMULL STRETCH 15-10 MTS NO TEJIDA;76022743567554;1;0;24000;Dispositivos y accesorios médicos;DISPONIBLE
GASA FIXOMULL STRETCH 5-10 MT NO TEJ X1;76022752652984;2;0;9000;Dispositivos y accesorios médicos;DISPONIBLE
GASA HIDROFILA ESTERIL CRANBERRY 1UNIDAD;7806130200173;28;0;700;Dispositivos y accesorios médicos;DISPONIBLE
GASA NO TEJIDA CRAMBERRY10X10 50 SOBRES X 2 UND;7806130013933;3;0;4000;Dispositivos y accesorios médicos;DISPONIBLE
